	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
    WBS NL-N-TS2-002-04-07-49      REPAIR & RECT/ 6.6 K	                  0	            5272000	           -5272000	                  0	                  0	                  0	                  0	                  0	                  0	            5272000	           -5272000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5272000	           -5272000	                  0
    WBS NL-N-TS2-002-04-07-52      overhauling 6.6 kv m	                  0	            1109200	           -1109200	                  0	                  0	                  0	                  0	                  0	                  0	            1109200	           -1109200	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1109200	           -1109200	                  0
    WBS NL-N-TS2-002-04-07-55      FAULT IDENTIFICATION	                  0	           31421665	          -31421665	                  0	                  0	                  0	                  0	                  0	                  0	           31421665	          -31421665	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           31421665	          -31421665	                  0
    WBS NL-N-TS2-002-05            BOILER MAINTENANCE	         1322985513	          632824932	          690160582	               52.2	          534915513	          487300319	           47615194	                8.9	          788070000	          145524613	          642545387	               81.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1322985513	          632824932	          690160582	               52.2
    WBS NL-N-TS2-002-05-01         SLAG CONVEYOR,ABG &	          963485513	          177295531	          786189982	               81.6	          175415513	          123873039	           51542474	               29.4	          788070000	           53422492	          734647508	               93.2	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          963485513	          177295531	          786189982	               81.6
    WBS NL-N-TS2-002-05-01-01      SLAG CONVEYOR CHAIN,	          872985513	           10762695	          862222818	               98.8	           84915513	           10762695	           74152818	               87.3	          788070000	                  0	          788070000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          872985513	           10762695	          862222818	               98.8
    WBS NL-N-TS2-002-05-01-02      Replace Str & Cheque	           90500000	            3132330	           87367670	               96.5	           90500000	            3132330	           87367670	               96.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           90500000	            3132330	           87367670	               96.5
    WBS NL-N-TS2-002-05-01-03      Procurement of PB El	                  0	            2436741	           -2436741	                  0	                  0	            2436741	           -2436741	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2436741	           -2436741	                  0
    WBS NL-N-TS2-002-05-01-04      Rectification of Uni	                  0	            4598035	           -4598035	                  0	                  0	            4598035	           -4598035	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4598035	           -4598035	                  0
    WBS NL-N-TS2-002-05-01-07      link chain size 22 8	                  0	           33254760	          -33254760	                  0	                  0	           33254760	          -33254760	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           33254760	          -33254760	                  0
    WBS NL-N-TS2-002-05-01-08      Round link Chain-14X	                  0	             993504	            -993504	                  0	                  0	             993504	            -993504	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             993504	            -993504	                  0
    WBS NL-N-TS2-002-05-01-09      Side/Intermediate Gr	                  0	            4160394	           -4160394	                  0	                  0	            4160394	           -4160394	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4160394	           -4160394	                  0
    WBS NL-N-TS2-002-05-01-10      Roller for ABG 355mm	                  0	            1509025	           -1509025	                  0	                  0	            1509025	           -1509025	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1509025	           -1509025	                  0
    WBS NL-N-TS2-002-05-01-11      Connecting pin for A	                  0	             411500	            -411500	                  0	                  0	             411500	            -411500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             411500	            -411500	                  0
    WBS NL-N-TS2-002-05-01-12      Louver Type Grate Ba	                  0	            6763016	           -6763016	                  0	                  0	            6763016	           -6763016	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6763016	           -6763016	                  0
    WBS NL-N-TS2-002-05-01-13      ABG CAP BEARING A180	                  0	             929791	            -929791	                  0	                  0	             929791	            -929791	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             929791	            -929791	                  0
    WBS NL-N-TS2-002-05-01-14      ABG plate link chain	                  0	            3051478	           -3051478	                  0	                  0	            3051478	           -3051478	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3051478	           -3051478	                  0
    WBS NL-N-TS2-002-05-01-15      Repl & Recti of Supp	                  0	            4429696	           -4429696	                  0	                  0	            4429696	           -4429696	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4429696	           -4429696	                  0
    WBS NL-N-TS2-002-05-01-16      Belt Conveyor Idler	                  0	             428599	            -428599	                  0	                  0	             428599	            -428599	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             428599	            -428599	                  0
    WBS NL-N-TS2-002-05-01-17      Replacement of damag	                  0	             123408	            -123408	                  0	                  0	             123408	            -123408	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             123408	            -123408	                  0
    WBS YESN-TS2-002-05-01-18      ABG Drive Shaft Chai	                  0	            1230871	           -1230871	                  0	                  0	            1230871	           -1230871	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1230871	           -1230871	                  0
    WBS NL-N-TS2-002-05-01-19      Complete set of Spac	                  0	            1064050	           -1064050	                  0	                  0	            1064050	           -1064050	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1064050	           -1064050	                  0
    WBS NL-N-TS2-002-05-01-20      ST contract 5 nos AB	                  0	            7345573	           -7345573	                  0	                  0	            6383728	           -6383728	                  0	                  0	             961845	            -961845	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7345573	           -7345573	                  0
    WBS NL-N-TS2-002-05-01-21      RUD Chain coupling c	                  0	            2660000	           -2660000	                  0	                  0	            2660000	           -2660000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2660000	           -2660000	                  0
    WBS NL-N-TS2-002-05-01-22      ST work for fabricat	                  0	            6491180	           -6491180	                  0	                  0	            6095880	           -6095880	                  0	                  0	             395300	            -395300	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6491180	           -6491180	                  0
    WBS NL-N-TS2-002-05-01-23      Louvre Type Grate ba	                  0	           10508223	          -10508223	                  0	                  0	           10508223	          -10508223	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10508223	          -10508223	                  0
    WBS NL-N-TS2-002-05-01-24      Changing /Rectifi of	                  0	           11170189	          -11170189	                  0	                  0	            5013766	           -5013766	                  0	                  0	            6156423	           -6156423	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11170189	          -11170189	                  0
    WBS NL-N-TS2-002-05-01-25      Side/Intermediate Gr	                  0	            6621458	           -6621458	                  0	                  0	            6621458	           -6621458	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6621458	           -6621458	                  0
    WBS NL-N-TS2-002-05-01-26      ABG Plate Link Chain	                  0	            3934567	           -3934567	                  0	                  0	            3934567	           -3934567	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3934567	           -3934567	                  0
    WBS NL-N-TS2-002-05-01-27      ABG- COMPLETE SET OF	                  0	            2552517	           -2552517	                  0	                  0	             238059	            -238059	                  0	                  0	            2314458	           -2314458	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2552517	           -2552517	                  0
    WBS NL-N-TS2-002-05-01-28      ABG-ROLLER-305MM	                  0	            1114270	           -1114270	                  0	                  0	            1114270	           -1114270	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1114270	           -1114270	                  0
    WBS NL-N-TS2-002-05-01-29      ABG-ROLLER-355MM	                  0	            2659420	           -2659420	                  0	                  0	            2023195	           -2023195	                  0	                  0	             636225	            -636225	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2659420	           -2659420	                  0
    WBS NL-N-TS2-002-05-01-30      IMPORTED ROUND LINK	                  0	           40740000	          -40740000	                  0	                  0	                  0	                  0	                  0	                  0	           40740000	          -40740000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           40740000	          -40740000	                  0
    WBS NL-N-TS2-002-05-01-31      SEVEN NO OF ABG OVER	                  0	            2218241	           -2218241	                  0	                  0	                  0	                  0	                  0	                  0	            2218241	           -2218241	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2218241	           -2218241	                  0
    WBS NL-N-TS2-002-05-02         MILL MAINTENANCE	            9200000	           87215878	          -78015878	             -848.0	            9200000	           78941529	          -69741529	             -758.1	                  0	            8274349	           -8274349	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9200000	           87215878	          -78015878	             -848.0
    WBS NL-N-TS2-002-05-02-01      MILLS AND PF DUCTS	                  0	           20507860	          -20507860	                  0	                  0	           20507860	          -20507860	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20507860	          -20507860	                  0
    WBS NL-N-TS2-002-05-02-02      Helical Spring &Visc	            9200000	            8138236	            1061764	               11.5	            9200000	            8138236	            1061764	               11.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9200000	            8138236	            1061764	               11.5
    WBS NL-N-TS2-002-05-02-03      Mill double bearing	                  0	             890100	            -890100	                  0	                  0	             890100	            -890100	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             890100	            -890100	                  0
    WBS NL-N-TS2-002-05-02-04      PF Duct lifting & Al	                  0	            1486800	           -1486800	                  0	                  0	            1486800	           -1486800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1486800	           -1486800	                  0
    WBS NL-N-TS2-002-05-02-05      replace of spring un	                  0	            2534640	           -2534640	                  0	                  0	            2534640	           -2534640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2534640	           -2534640	                  0
    WBS NL-N-TS2-002-05-02-06      Replace recti classi	                  0	            2906355	           -2906355	                  0	                  0	            2936420	           -2936420	                  0	                  0	             -30066	              30066	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2906355	           -2906355	                  0
    WBS NL-N-TS2-002-05-02-07      Spring unit/visco da	                  0	            8299187	           -8299187	                  0	                  0	            8299187	           -8299187	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8299187	           -8299187	                  0
    WBS NL-N-TS2-002-05-02-08      Replace of Spring Vi	                  0	            2534640	           -2534640	                  0	                  0	            2534640	           -2534640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2534640	           -2534640	                  0
    WBS NL-N-TS2-002-05-02-09      Mill Door seal colla	                  0	           11446000	          -11446000	                  0	                  0	           11446000	          -11446000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11446000	          -11446000	                  0
    WBS NL-N-TS2-002-05-02-10      Voith Turbo/EPK Conn	                  0	            9612273	           -9612273	                  0	                  0	            9612273	           -9612273	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9612273	           -9612273	                  0
    WBS NL-N-TS2-002-05-02-11      MILL DOUBLE BEARING	                  0	           10555373	          -10555373	                  0	                  0	           10555373	          -10555373	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10555373	          -10555373	                  0
    WBS NL-N-TS2-002-05-02-12      REVAMPING-MILL DOOR	                  0	            5740228	           -5740228	                  0	                  0	                  0	                  0	                  0	                  0	            5740228	           -5740228	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5740228	           -5740228	                  0
    WBS NL-N-TS2-002-05-02-13      PROC-MILL DOUBLE BEA	                  0	            2564187	           -2564187	                  0	                  0	                  0	                  0	                  0	                  0	            2564187	           -2564187	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2564187	           -2564187	                  0
    WBS NL-N-TS2-002-05-03         PRESSURE PARTS	          315300000	          162686600	          152613400	               48.4	          315300000	          121153822	          194146178	               61.6	                  0	           41532778	          -41532778	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          315300000	          162686600	          152613400	               48.4
    WBS NL-N-TS2-002-05-03-01      SH3 Outlet Header (S	          315300000	                  0	          315300000	              100.0	          315300000	                  0	          315300000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          315300000	                  0	          315300000	              100.0
    WBS NL-N-TS2-002-05-03-04      Drum Safety Valves (	                  0	            7404920	           -7404920	                  0	                  0	            7404920	           -7404920	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7404920	           -7404920	                  0
    WBS NL-N-TS2-002-05-03-09      Water Lance Pump	                  0	            1813851	           -1813851	                  0	                  0	            1813851	           -1813851	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813851	           -1813851	                  0
    WBS NL-N-TS2-002-05-03-12      Automatic Stress Rel	                  0	             372880	            -372880	                  0	                  0	             372880	            -372880	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             372880	            -372880	                  0
    WBS NL-N-TS2-002-05-03-13      Portable Rebound Har	                  0	             198240	            -198240	                  0	                  0	             198240	            -198240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             198240	            -198240	                  0
    WBS NL-N-TS2-002-05-03-14      Water Wall Tube & Pa	                  0	             595146	            -595146	                  0	                  0	             595146	            -595146	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             595146	            -595146	                  0
    WBS NL-N-TS2-002-05-03-15      Boiler-5 Hanger Insp	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0
    WBS NL-N-TS2-002-05-03-16      Water Wall Tube,Pane	                  0	            1651571	           -1651571	                  0	                  0	            1651571	           -1651571	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1651571	           -1651571	                  0
    WBS NL-N-TS2-002-05-03-17      Replace of Drain,Ven	                  0	             998841	            -998841	                  0	                  0	             998841	            -998841	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             998841	            -998841	                  0
    WBS NL-N-TS2-002-05-03-18      Replacement of WW Pa	                  0	            2204377	           -2204377	                  0	                  0	            2204377	           -2204377	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2204377	           -2204377	                  0
    WBS NL-N-TS2-002-05-03-19      HRH Safety Valve Tap	                  0	            1828206	           -1828206	                  0	                  0	            1828206	           -1828206	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1828206	           -1828206	                  0
    WBS NL-N-TS2-002-05-03-24      Safety Valve Spares	                  0	            2088271	           -2088271	                  0	                  0	            2088271	           -2088271	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2088271	           -2088271	                  0
    WBS NL-N-TS2-002-05-03-25      Thickness Survey -Bo	                  0	            1258353	           -1258353	                  0	                  0	            1258353	           -1258353	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1258353	           -1258353	                  0
    WBS NL-N-TS2-002-05-03-26      Replacement of WW Pa	                  0	           13658204	          -13658204	                  0	                  0	           13658204	          -13658204	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13658204	          -13658204	                  0
    WBS NL-N-TS2-002-05-03-27      Refractory Work insi	                  0	            1387542	           -1387542	                  0	                  0	            1387542	           -1387542	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1387542	           -1387542	                  0
    WBS NL-N-TS2-002-05-03-29      Procurement of fuel	                  0	            6584694	           -6584694	                  0	                  0	            6584694	           -6584694	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6584694	           -6584694	                  0
    WBS NL-N-TS2-002-05-03-30      Replacement of Insul	                  0	           30300223	          -30300223	                  0	                  0	           30300223	          -30300223	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           30300223	          -30300223	                  0
    WBS NL-N-TS2-002-05-03-31      Procurement of FCS M	                  0	            2485080	           -2485080	                  0	                  0	            2485080	           -2485080	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2485080	           -2485080	                  0
    WBS NL-N-TS2-002-05-03-32      Hopper S type &Corne	                  0	            7375592	           -7375592	                  0	                  0	            7375592	           -7375592	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7375592	           -7375592	                  0
    WBS NL-N-TS2-002-05-03-33      Replacement of ECO o	                  0	            5168282	           -5168282	                  0	                  0	            5168282	           -5168282	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5168282	           -5168282	                  0
    WBS NL-N-TS2-002-05-03-34      Water lance casing T	                  0	             547054	            -547054	                  0	                  0	             547054	            -547054	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             547054	            -547054	                  0
    WBS NL-N-TS2-002-05-03-35      Procurement of FAS M	                  0	            2450860	           -2450860	                  0	                  0	            2450860	           -2450860	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2450860	           -2450860	                  0
    WBS NL-N-TS2-002-05-03-37      Replacement of HRH S	                  0	            1105896	           -1105896	                  0	                  0	            1105896	           -1105896	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1105896	           -1105896	                  0
    WBS NL-N-TS2-002-05-03-38      Replacement of HRH S	                  0	             552948	            -552948	                  0	                  0	             552948	            -552948	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             552948	            -552948	                  0
    WBS NL-N-TS2-002-05-03-39      Procurement of SSB C	                  0	            1894450	           -1894450	                  0	                  0	            1894450	           -1894450	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1894450	           -1894450	                  0
