	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
    WBS NL-N-TS2-002-02-12         Coat over existing b	                  0	            1813727	           -1813727	                  0	                  0	            1813727	           -1813727	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813727	           -1813727	                  0
    WBS NL-N-TS2-002-02-13         Providing golvelume	                  0	            1517071	           -1517071	                  0	                  0	            1517071	           -1517071	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1517071	           -1517071	                  0
    WBS NL-N-TS2-002-02-17         Restoration  sheets	                  0	           12373433	          -12373433	                  0	                  0	           12373433	          -12373433	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12373433	          -12373433	                  0
    WBS NL-N-TS2-002-02-18         Restoration sheet  B	                  0	           12685552	          -12685552	                  0	                  0	           12685552	          -12685552	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12685552	          -12685552	                  0
    WBS NL-N-TS2-002-02-21         Installation&Commiss	                  0	            7944114	           -7944114	                  0	                  0	            7944114	           -7944114	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7944114	           -7944114	                  0
    WBS NL-N-TS2-002-02-22         Upgraditaion of Weig	                  0	             430496	            -430496	                  0	                  0	             430496	            -430496	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             430496	            -430496	                  0
    WBS NL-N-TS2-002-02-24         Retrofit outside pla	                  0	           18928675	          -18928675	                  0	                  0	           18928675	          -18928675	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18928675	          -18928675	                  0
    WBS NL-N-TS2-002-02-25         Laterite Platform fo	                  0	            8065283	           -8065283	                  0	                  0	            8065283	           -8065283	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8065283	           -8065283	                  0
    WBS NL-N-TS2-002-02-26         Civil & Structural w	                  0	            1619422	           -1619422	                  0	                  0	            1619422	           -1619422	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1619422	           -1619422	                  0
    WBS NL-N-TS2-002-02-27         Cover Shed for ESP T	                  0	            1692146	           -1692146	                  0	                  0	            1692146	           -1692146	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1692146	           -1692146	                  0
    WBS NL-N-TS2-002-02-28         Unit-5 Lift enclose	                  0	            2520119	           -2520119	                  0	                  0	            2520119	           -2520119	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2520119	           -2520119	                  0
    WBS NL-N-TS2-002-02-30         Repair of J-Row Wall	                  0	             840521	            -840521	                  0	                  0	             840521	            -840521	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             840521	            -840521	                  0
    WBS NL-N-TS2-002-02-33         Modification of Powe	                  0	             383179	            -383179	                  0	                  0	             383179	            -383179	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             383179	            -383179	                  0
    WBS NL-N-TS2-002-02-34         REPAIR OF LHS TRACKS	                  0	           22496838	          -22496838	                  0	                  0	           10778164	          -10778164	                  0	                  0	           11718674	          -11718674	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           22496838	          -22496838	                  0
    WBS NL-N-TS2-002-02-35         Manu.&supply of slee	                  0	            7107621	           -7107621	                  0	                  0	            7107621	           -7107621	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7107621	           -7107621	                  0
    WBS NL-N-TS2-002-02-38         Formation of new WBM	                  0	           25595496	          -25595496	                  0	                  0	           11577802	          -11577802	                  0	                  0	           14017694	          -14017694	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           25595496	          -25595496	                  0
    WBS NL-N-TS2-002-02-39         IMPROVE  BT ROAD TO	                  0	           37674704	          -37674704	                  0	                  0	           37674704	          -37674704	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           37674704	          -37674704	                  0
    WBS NL-N-TS2-002-02-40         WIDEN EXISTING OUTER	                  0	            8767833	           -8767833	                  0	                  0	            2508874	           -2508874	                  0	                  0	            6258959	           -6258959	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8767833	           -8767833	                  0
    WBS NL-N-TS2-002-02-42         galvaume sheets-LHS	                  0	            8524381	           -8524381	                  0	                  0	                  0	                  0	                  0	                  0	            8524381	           -8524381	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8524381	           -8524381	                  0
    WBS NL-N-TS2-002-02-43         galvaume sheets-7AB	                  0	            4447549	           -4447549	                  0	                  0	                  0	                  0	                  0	                  0	            4447549	           -4447549	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4447549	           -4447549	                  0
    WBS NL-N-TS2-002-02-49         REPAIR REHABILITA CO	                  0	           23523198	          -23523198	                  0	                  0	                  0	                  0	                  0	                  0	           23523198	          -23523198	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           23523198	          -23523198	                  0
    WBS NL-N-TS2-002-03            ELECTRICAL O & S	            5600330	           42721890	          -37121560	             -662.8	            5600330	           31970221	          -26369891	             -470.9	                  0	           10751668	          -10751668	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5600330	           42721890	          -37121560	             -662.8
    WBS NL-N-TS2-002-03-01         Retrofit of relay fo	            5600330	                  0	            5600330	              100.0	            5600330	                  0	            5600330	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5600330	                  0	            5600330	              100.0
    WBS NL-N-TS2-002-03-02         Battery charger 220V	                  0	            4476240	           -4476240	                  0	                  0	            4476240	           -4476240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4476240	           -4476240	                  0
    WBS NL-N-TS2-002-03-03         Replace  1180AH cap	                  0	           18489989	          -18489989	                  0	                  0	           18489989	          -18489989	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18489989	          -18489989	                  0
    WBS NL-N-TS2-002-03-04         Replace 1285AH cap b	                  0	            6552406	           -6552406	                  0	                  0	            6552406	           -6552406	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6552406	           -6552406	                  0
    WBS NL-N-TS2-002-03-14         48V Thyrister based	                  0	             325000	            -325000	                  0	                  0	             325000	            -325000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             325000	            -325000	                  0
    WBS NL-N-TS2-002-03-21         Control cable 4 core	                  0	             730708	            -730708	                  0	                  0	             730708	            -730708	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             730708	            -730708	                  0
    WBS NL-N-TS2-002-03-22         Battery Operated pla	                  0	             719080	            -719080	                  0	                  0	             719080	            -719080	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             719080	            -719080	                  0
    WBS NL-N-TS2-002-03-23         1.1kV FRLS-Cu cable	                  0	             561081	            -561081	                  0	                  0	             561081	            -561081	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             561081	            -561081	                  0
    WBS NL-N-TS2-002-03-24         1.1 KV FRLS Cu Cable	                  0	            1065668	           -1065668	                  0	                  0	                  0	                  0	                  0	                  0	            1065668	           -1065668	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1065668	           -1065668	                  0
    WBS NL-N-TS2-002-03-25         Instrument Air Compr	                  0	             686000	            -686000	                  0	                  0	                  0	                  0	                  0	                  0	             686000	            -686000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             686000	            -686000	                  0
    WBS NL-N-TS2-002-03-27         Clamp Meter	                  0	             115718	            -115718	                  0	                  0	             115718	            -115718	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             115718	            -115718	                  0
