Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 10:36:59)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   Land Schedule Certif WBS NL-F-MAC-001-03-02	         9488720.00	         9488720.00	               0.00	         9488720.00	               0.00	         9488720.00	         9488720.00	               0.00	         9488720.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9488720.00	         9488720.00	               0.00	         9488720.00	               0.00
    ORSAC-DGPS           WBS NL-F-MAC-001-03-02-01	         9488720.00	         9488720.00	               0.00	         9488720.00	               0.00	         9488720.00	         9488720.00	               0.00	         9488720.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9488720.00	         9488720.00	               0.00	         9488720.00	               0.00
*   Reviewing of MP & MC WBS NL-F-MAC-001-03-04	          241200.00	               0.00	          241200.00	          241200.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          241200.00	               0.00	          241200.00	          241200.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          241200.00	               0.00	          241200.00	          241200.00	               0.00
**  Amount to be deposit WBS NL-F-MAC-001-04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      -350000000.00	               0.00	      -350000000.00	       350000000.00	               0.00	       350000000.00	               0.00	       350000000.00	      -350000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  Railway siding FSR,  WBS NL-F-MAC-001-05	       431300000.00	               0.00	       431290000.00	       431290000.00	           10000.00	               0.00	               0.00	       431290000.00	       431290000.00	      -431290000.00	       431300000.00	               0.00	               0.00	               0.00	       431300000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       431300000.00	               0.00	       431290000.00	       431290000.00	           10000.00
*   RITES - Railway Sidi WBS NL-F-MAC-001-05-01	       431300000.00	               0.00	       431290000.00	       431290000.00	           10000.00	               0.00	               0.00	       431290000.00	       431290000.00	      -431290000.00	       431300000.00	               0.00	               0.00	               0.00	       431300000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       431300000.00	               0.00	       431290000.00	       431290000.00	           10000.00
**  Office and Site esta WBS NL-F-MAC-001-06	        56981847.62	         9040127.13	        43354877.80	        52395004.93	         4586842.69	               0.00	         -454657.88	               0.00	         -454657.88	          454657.88	        56981847.62	         9494785.01	        43354877.80	        52849662.81	         4132184.81	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        56982191.21	         9040127.13	        43354877.80	        52395004.93	         4587186.28
*   Office Establishment WBS NL-F-MAC-001-06-01	        40051498.86	         1967940.61	        33803677.92	        35771618.53	         4279880.33	               0.00	               0.00	               0.00	               0.00	               0.00	        40051498.86	         1967940.61	        33803677.92	        35771618.53	         4279880.33	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        40051842.45	         1967940.61	        33803677.92	        35771618.53	         4280223.92
*   Other Office and Gue WBS NL-F-MAC-001-06-02	         3544724.75	         2966567.68	          271195.00	         3237762.68	          306962.07	               0.00	         -454657.88	               0.00	         -454657.88	          454657.88	         3544724.75	         3421225.56	          271195.00	         3692420.56	         -147695.81	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3544724.75	         2966567.68	          271195.00	         3237762.68	          306962.07
*   Furniture for office WBS NL-F-MAC-001-06-03	         4105618.84	         4105618.84	               0.00	         4105618.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4105618.84	         4105618.84	               0.00	         4105618.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4105618.84	         4105618.84	               0.00	         4105618.84	               0.00
