Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (26.11.2025 12:24:01)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
6*  Talabira II & III OC PRJ NL-C-MTL-001	      1640000000.00	      2643120478.36	       818648752.97	      3461769231.33	     -1821769231.33	      1640000000.00	      2665284484.55	       818648752.97	      3483933237.52	     -1843933237.52	               0.00	       -22164006.19	               0.00	       -22164006.19	        22164006.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1640000000.00	      2643120478.36	       818648752.97	      3461769231.33	     -1821769231.33
6*  Talabira II & III OC PRJ NL-C-MTL-002	      3999726855.31	      1442048206.35	       751835556.35	      2193883762.70	      1805843092.61	       855819787.87	       777361410.11	               0.00	       777361410.11	        78458377.76	      3143907067.44	       664686796.24	       751835556.35	      1416522352.59	      1727384714.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      3999726855.31	      1442048206.35	       751835556.35	      2193883762.70	      1805843092.61
6*  North Dhadu (Western PRJ NL-C-NDM-001	      1000000000.00	               0.00	        49617021.53	        49617021.53	       950382978.47	               0.00	               0.00	               0.00	               0.00	               0.00	      1000000000.00	               0.00	        49617021.53	        49617021.53	       950382978.47	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1000000000.00	               0.00	        49617021.53	        49617021.53	       950382978.47
6*  NNTPP CAPEX PROJECT  PRJ NL-C-NNT-001	      2120002000.00	      1292756865.95	       662814866.84	      1955571732.79	       164430267.21	      1295641300.24	      1292582411.03	               0.00	      1292582411.03	         3058889.21	       824360699.76	          174454.92	       662814866.84	       662989321.76	       161371378.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2120002000.00	      1292756865.95	       662814866.84	      1955571732.79	       164430267.21
6*  NNTPP Flue Gas Desul PRJ NL-C-NNT-002	     11314238700.61	     10140589669.09	      1121680427.98	     11262270097.07	        51968603.54	      9467705622.64	      9707897030.08	       207977215.02	      9915874245.10	      -448168622.46	      1846533077.97	       432692639.01	       913703212.96	      1346395851.97	       500137226.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	     11314238700.61	     10140589669.09	      1121680427.98	     11262270097.07	        51968603.54
6*  New Patrapara South  PRJ NL-C-NPS-001	      2400000000.00	        15653702.60	         3644000.00	        19297702.60	      2380702297.40	               0.00	               0.00	               0.00	               0.00	               0.00	      2400000000.00	        15653702.60	         3644000.00	        19297702.60	      2380702297.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2400000000.00	        15653702.60	         3644000.00	        19297702.60	      2380702297.40
6*  IREDA-CPSU Scheme Ph PRJ NL-C-PBD-001	        60180000.00	               0.00	               0.00	               0.00	        60180000.00	        60180000.00	               0.00	               0.00	               0.00	        60180000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        60180000.00	               0.00	               0.00	               0.00	        60180000.00
6*  Neyveli 2x65 MW Sola PRJ NL-C-PBD-002	        10669830.00	        10289078.01	          380751.03	        10669829.04	               0.96	        10669830.00	        10289078.01	          380751.03	        10669829.04	               0.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10669830.00	        10289078.01	          380751.03	        10669829.04	               0.96
6*  Solar 10 MW Power Pr PRJ NL-C-SOL-001	       175000000.00	       453596291.78	       144501373.34	       598097665.12	      -423097665.12	       175000000.00	       453596291.78	       144501373.34	       598097665.12	      -423097665.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       175000000.00	       453596291.78	       144501373.34	       598097665.12	      -423097665.12
6*  Solar 50 MW in Mine  PRJ NL-C-SOL-002	      1807443528.00	      1646966566.78	       160459672.50	      1807426239.28	           17288.72	      1377480844.92	      1377480844.92	               0.00	      1377480844.92	               0.00	       429962683.08	       269485721.86	       160459672.50	       429945394.36	           17288.72	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1807443528.00	      1646966566.78	       160459672.50	      1807426239.28	           17288.72
6*  200 MW Solar Power G PRJ NL-C-SOL-003	        12322960.04	         3754901.52	         2165404.55	         5920306.07	         6402653.97	         1590212.52	         1590212.52	               0.00	         1590212.52	               0.00	        10732747.52	         2164689.00	         2165404.55	         4330093.55	         6402653.97	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12322960.04	         3754901.52	         2165404.55	         5920306.07	         6402653.97
6*  100 MW SOLAR (HYBRID PRJ NL-C-SOL-004	      1350000000.00	         1176000.00	          574000.00	         1750000.00	      1348250000.00	         1176000.00	         1176000.00	               0.00	         1176000.00	               0.00	      1348824000.00	               0.00	          574000.00	          574000.00	      1348250000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1350000000.00	         1176000.00	          574000.00	         1750000.00	      1348250000.00
6*  2.5 MW RTS & 1 MW FT PRJ NL-C-SOL-005	       163900000.00	               0.00	       450290806.41	       450290806.41	      -286390806.41	               0.00	               0.00	               0.00	               0.00	               0.00	       163900000.00	               0.00	       450290806.41	       450290806.41	      -286390806.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       163900000.00	               0.00	       450290806.41	       450290806.41	      -286390806.41
6*  400 KW RTS at BTPS   PRJ NL-C-SOL-006	               0.00	               0.00	        27554970.56	        27554970.56	       -27554970.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        26138970.56	        26138970.56	       -26138970.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1416000.00	         1416000.00	        -1416000.00	               0.00	               0.00	        27554970.56	        27554970.56	       -27554970.56
6*  TPS2 Second Expansio PRJ NL-C-T22-001	     89654229250.70	        46879266.72	     89600837800.00	     89647717066.72	         6512183.98	        36461699.94	        45813962.72	               0.00	        45813962.72	        -9352262.78	     89617767550.76	         1065304.00	     89600837800.00	     89601903104.00	        15864446.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	     89654229250.70	        46879266.72	     89600837800.00	     89647717066.72	         6512183.98
6*  Performance Improvem PRJ NL-C-T2E-001	      2066995587.28	       960464955.98	        49051127.03	      1009516083.01	      1057479504.27	       919574789.34	       919574789.34	               0.00	       919574789.34	               0.00	      1147420797.94	        40890166.64	        49051127.03	        89941293.67	      1057479504.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2066995587.28	       960464955.98	        49051127.03	      1009516083.01	      1057479504.27
6*  Mini Smart City      PRJ NL-C-TAA-001	       173380000.00	        17793911.17	        27751497.99	        45545409.16	       127834590.84	         6139687.50	         6139687.50	               0.00	         6139687.50	               0.00	       167240312.50	        11654223.67	        27751497.99	        39405721.66	       127834590.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       173380000.00	        17793911.17	        27751497.99	        45545409.16	       127834590.84
6*  NLC Talabira Thermal PRJ NL-C-TPP-001	     12754172402.37	      7897558746.62	      3406494223.33	     11304052969.95	      1450119432.42	      2548966718.39	      1567062401.84	       147074944.59	      1714137346.43	       834829371.96	     10205205683.98	      6330496344.78	      3259419278.74	      9589915623.52	       615290060.46	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	     12754172402.37	      7897558746.62	      3406494223.33	     11304052969.95	      1450119432.42
6*  NLC TTPP Main Packag PRJ NL-C-TPP-002	      9595668774.40	      1529689520.00	      8060089254.40	      9589778774.40	         5890000.00	      5995668774.40	      1529689520.00	               0.00	      1529689520.00	      4465979254.40	      3600000000.00	               0.00	      8060089254.40	      8060089254.40	     -4460089254.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      9595668774.40	      1529689520.00	      8060089254.40	      9589778774.40	         5890000.00
