Plan/Actual/Variance	Current data (20.02.2025 17:15:24)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2024	2024	2024	2024	2025	2025	2025	2025	2026	2026	2026	2026	2027 and Following	2027 and Following	2027 and Following	2027 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
**  WBS NL-N-TS2-002-02-12         Coat over existing b	                  0	            1813727	           -1813727	                  0	                  0	            1813727	           -1813727	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813727	           -1813727	                  0
**  WBS NL-N-TS2-002-02-13         Providing golvelume	                  0	            1517071	           -1517071	                  0	                  0	            1517071	           -1517071	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1517071	           -1517071	                  0
**  WBS NL-N-TS2-002-02-17         Restoration  sheets	                  0	           12373433	          -12373433	                  0	                  0	           12373433	          -12373433	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12373433	          -12373433	                  0
**  WBS NL-N-TS2-002-02-18         Restoration sheet  B	                  0	           12685552	          -12685552	                  0	                  0	           12685552	          -12685552	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12685552	          -12685552	                  0
**  WBS NL-N-TS2-002-02-21         Installation&Commiss	                  0	            7944114	           -7944114	                  0	                  0	            7944114	           -7944114	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7944114	           -7944114	                  0
**  WBS NL-N-TS2-002-02-22         Upgraditaion of Weig	                  0	             430496	            -430496	                  0	                  0	             430496	            -430496	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             430496	            -430496	                  0
**  WBS NL-N-TS2-002-02-24         Retrofit outside pla	                  0	           18928675	          -18928675	                  0	                  0	           18928675	          -18928675	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18928675	          -18928675	                  0
**  WBS NL-N-TS2-002-02-25         Laterite Platform fo	                  0	            8065283	           -8065283	                  0	                  0	            8065283	           -8065283	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8065283	           -8065283	                  0
**  WBS NL-N-TS2-002-02-26         Civil & Structural w	                  0	            1619422	           -1619422	                  0	                  0	            1619422	           -1619422	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1619422	           -1619422	                  0
**  WBS NL-N-TS2-002-02-27         Cover Shed for ESP T	                  0	            1692146	           -1692146	                  0	                  0	            1692146	           -1692146	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1692146	           -1692146	                  0
**  WBS NL-N-TS2-002-02-28         Unit-5 Lift enclose	                  0	            2520119	           -2520119	                  0	                  0	            2520119	           -2520119	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2520119	           -2520119	                  0
**  WBS NL-N-TS2-002-02-30         Repair of J-Row Wall	                  0	             840521	            -840521	                  0	                  0	             840521	            -840521	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             840521	            -840521	                  0
**  WBS NL-N-TS2-002-02-33         Modification of Powe	                  0	             383179	            -383179	                  0	                  0	             383179	            -383179	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             383179	            -383179	                  0
**  WBS NL-N-TS2-002-02-35         Manu.&supply of slee	                  0	            7107621	           -7107621	                  0	                  0	            6475951	           -6475951	                  0	                  0	             631670	            -631670	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7107621	           -7107621	                  0
**  WBS NL-N-TS2-002-02-38         Formation of new WBM	                  0	            8368369	           -8368369	                  0	                  0	                  0	                  0	                  0	                  0	            8368369	           -8368369	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8368369	           -8368369	                  0
**  WBS NL-N-TS2-002-02-39         IMPROVE  BT ROAD TO	                  0	           37674704	          -37674704	                  0	                  0	                  0	                  0	                  0	                  0	           37674704	          -37674704	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           37674704	          -37674704	                  0
**  WBS NL-N-TS2-002-02-40         WIDEN EXISTING OUTER	                  0	            2366867	           -2366867	                  0	                  0	                  0	                  0	                  0	                  0	            2366867	           -2366867	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2366867	           -2366867	                  0
*** WBS NL-N-TS2-002-03            ELECTRICAL O & S	            5600330	           31970221	          -26369891	             -470.9	                  0	           31854503	          -31854503	                  0	            5600330	             115718	            5484612	               97.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5600330	           31970221	          -26369891	             -470.9
**  WBS NL-N-TS2-002-03-01         Retrofit of relay fo	            5600330	                  0	            5600330	              100.0	                  0	                  0	                  0	                  0	            5600330	                  0	            5600330	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5600330	                  0	            5600330	              100.0
**  WBS NL-N-TS2-002-03-02         Battery charger 220V	                  0	            4476240	           -4476240	                  0	                  0	            4476240	           -4476240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4476240	           -4476240	                  0
**  WBS NL-N-TS2-002-03-03         Replace  1180AH cap	                  0	           18489989	          -18489989	                  0	                  0	           18489989	          -18489989	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18489989	          -18489989	                  0
**  WBS NL-N-TS2-002-03-04         Replace 1285AH cap b	                  0	            6552406	           -6552406	                  0	                  0	            6552406	           -6552406	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6552406	           -6552406	                  0
**  WBS NL-N-TS2-002-03-14         48V Thyrister based	                  0	             325000	            -325000	                  0	                  0	             325000	            -325000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             325000	            -325000	                  0
**  WBS NL-N-TS2-002-03-21         Control cable 4 core	                  0	             730708	            -730708	                  0	                  0	             730708	            -730708	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             730708	            -730708	                  0
**  WBS NL-N-TS2-002-03-22         Battery Operated pla	                  0	             719080	            -719080	                  0	                  0	             719080	            -719080	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             719080	            -719080	                  0
**  WBS NL-N-TS2-002-03-23         1.1kV FRLS-Cu cable	                  0	             561081	            -561081	                  0	                  0	             561081	            -561081	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             561081	            -561081	                  0
**  WBS NL-N-TS2-002-03-27         Clamp Meter	                  0	             115718	            -115718	                  0	                  0	                  0	                  0	                  0	                  0	             115718	            -115718	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             115718	            -115718	                  0
*** WBS NL-N-TS2-002-04            ELECTRICAL MAINTENAN	          996566787	          601581459	          394985328	               39.6	                  0	          330417931	         -330417931	                  0	          996566787	          271163528	          725403259	               72.8	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          996566787	          601581459	          394985328	               39.6
**  WBS NL-N-TS2-002-04-01         LHS CONTROLS	          265817369	           15941489	          249875880	               94.0	                  0	            5831140	           -5831140	                  0	          265817369	           10110349	          255707020	               96.2	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          265817369	           15941489	          249875880	               94.0
*   WBS NL-N-TS2-002-04-01-01       Bunker Level Transm	          265817369	                  0	          265817369	              100.0	                  0	                  0	                  0	                  0	          265817369	                  0	          265817369	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          265817369	                  0	          265817369	              100.0
*   WBS NL-N-TS2-002-04-01-02      TPS-II Emerson PLC U	                  0	            5130640	           -5130640	                  0	                  0	            5130640	           -5130640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5130640	           -5130640	                  0
*   WBS NL-N-TS2-002-04-01-04      HMI Hardware Worksta	                  0	             700500	            -700500	                  0	                  0	             700500	            -700500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             700500	            -700500	                  0
