Plan/Actual/Variance	Current data (20.02.2025 17:15:24)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2024	2024	2024	2024	2025	2025	2025	2025	2026	2026	2026	2026	2027 and Following	2027 and Following	2027 and Following	2027 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
*   WBS NL-N-TS2-002-04-03-45      Generator Spares	                  0	             550980	            -550980	                  0	                  0	             550980	            -550980	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             550980	            -550980	                  0
*   WBS NL-N-TS2-002-04-03-51      Dry Type Indoor Exci	                  0	            8341427	           -8341427	                  0	                  0	            8341427	           -8341427	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8341427	           -8341427	                  0
*   WBS NL-N-TS2-002-04-03-52      Inter Connecting Tra	                  0	            2322594	           -2322594	                  0	                  0	            2322594	           -2322594	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2322594	           -2322594	                  0
*   WBS NL-N-TS2-002-04-03-56      Main & Stuffing Bell	                  0	             631717	            -631717	                  0	                  0	             631717	            -631717	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             631717	            -631717	                  0
*   WBS NL-N-TS2-002-04-03-57      Split AC 2 Ton Capac	                  0	            1024960	           -1024960	                  0	                  0	            1024960	           -1024960	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1024960	           -1024960	                  0
*   WBS NL-N-TS2-002-04-03-58      Rejuvenation of ESP	                  0	             552240	            -552240	                  0	                  0	             552240	            -552240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             552240	            -552240	                  0
*   WBS NL-N-TS2-002-04-03-59      Refregirant H2 Gas D	                  0	            2057133	           -2057133	                  0	                  0	            2057133	           -2057133	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2057133	           -2057133	                  0
*   WBS NL-N-TS2-002-04-03-60      Vacuum Cleaner for H	                  0	              18336	             -18336	                  0	                  0	              18336	             -18336	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              18336	             -18336	                  0
*   WBS NL-N-TS2-002-04-03-61      REFREGIRANT TYPE H2G	                  0	            2095500	           -2095500	                  0	                  0	            1676400	           -1676400	                  0	                  0	             419100	            -419100	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2095500	           -2095500	                  0
*   WBS NL-N-TS2-002-04-03-62      refurishment of Roto	                  0	           48471609	          -48471609	                  0	                  0	                  0	                  0	                  0	                  0	           48471609	          -48471609	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           48471609	          -48471609	                  0
*   WBS NL-N-TS2-002-04-03-63      Rectification of Uni	                  0	           25075000	          -25075000	                  0	                  0	           25075000	          -25075000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           25075000	          -25075000	                  0
*   WBS NL-N-TS2-002-04-03-64      digital Tachometer f	                  0	              51174	             -51174	                  0	                  0	              51174	             -51174	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              51174	             -51174	                  0
*   WBS NL-N-TS2-002-04-03-65      Top panel mount cool	                  0	            2200500	           -2200500	                  0	                  0	            2200500	           -2200500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2200500	           -2200500	                  0
*   WBS NL-N-TS2-002-04-03-66      11/0.433kv transform	                  0	             501500	            -501500	                  0	                  0	             501500	            -501500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             501500	            -501500	                  0
*   WBS NL-N-TS2-002-04-03-67      Seal oil pump for st	                  0	            1337577	           -1337577	                  0	                  0	            1337577	           -1337577	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1337577	           -1337577	                  0
*   WBS NL-N-TS2-002-04-03-68      tranformer movement	                  0	            2379430	           -2379430	                  0	                  0	            2379430	           -2379430	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2379430	           -2379430	                  0
*   WBS NL-N-TS2-002-04-03-69      Arresting oil leaks	                  0	             231280	            -231280	                  0	                  0	             231280	            -231280	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             231280	            -231280	                  0
*   WBS NL-N-TS2-002-04-03-70      3X240 sqmm XLPE cabl	                  0	            6101754	           -6101754	                  0	                  0	            6101754	           -6101754	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6101754	           -6101754	                  0
*   WBS NL-N-TS2-002-04-03-72      Overhauling work of	                  0	            3109300	           -3109300	                  0	                  0	            3109300	           -3109300	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3109300	           -3109300	                  0
*   WBS NL-N-TS2-002-04-03-73      DCS 800 converter FO	                  0	            1911600	           -1911600	                  0	                  0	            1911600	           -1911600	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1911600	           -1911600	                  0
*   WBS NL-N-TS2-002-04-03-74      Purchase of 2 T batt	                  0	             505000	            -505000	                  0	                  0	                  0	                  0	                  0	                  0	             505000	            -505000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             505000	            -505000	                  0
*   WBS NL-N-TS2-002-04-03-75      Replacement of 2650	                  0	            1563795	           -1563795	                  0	                  0	            1563795	           -1563795	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1563795	           -1563795	                  0
*   WBS NL-N-TS2-002-04-03-78      ST-Repair & RC of 3.	                  0	            6941940	           -6941940	                  0	                  0	            6941940	           -6941940	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6941940	           -6941940	                  0
*   WBS NL-N-TS2-002-04-03-79      Purchase of St-I Dig	                  0	            1803654	           -1803654	                  0	                  0	             396976	            -396976	                  0	                  0	            1406678	           -1406678	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1803654	           -1803654	                  0
*   WBS NL-N-TS2-002-04-03-80      Seal rings Tubine&Ex	                  0	            6194188	           -6194188	                  0	                  0	                  0	                  0	                  0	                  0	            6194188	           -6194188	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6194188	           -6194188	                  0
*   WBS NL-N-TS2-002-04-03-81      Megger make Coulomet	                  0	            1714951	           -1714951	                  0	                  0	                  0	                  0	                  0	                  0	            1714951	           -1714951	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1714951	           -1714951	                  0
*   WBS NL-N-TS2-002-04-03-83      MURR make power supp	                  0	             307941	            -307941	                  0	                  0	             307941	            -307941	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             307941	            -307941	                  0
*   WBS NL-N-TS2-002-04-03-84      Generator Stator Win	                  0	           17006868	          -17006868	                  0	                  0	                  0	                  0	                  0	                  0	           17006868	          -17006868	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           17006868	          -17006868	                  0
*   WBS NL-N-TS2-002-04-03-85      Rotor Fan blades for	                  0	           29557734	          -29557734	                  0	                  0	           29557734	          -29557734	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           29557734	          -29557734	                  0
*   WBS NL-N-TS2-002-04-03-86      Proc of Submersible	                  0	             204300	            -204300	                  0	                  0	             204300	            -204300	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             204300	            -204300	                  0
*   WBS NL-N-TS2-002-04-03-92      ST work repair and r	                  0	             687940	            -687940	                  0	                  0	             791780	            -791780	                  0	                  0	            -103840	             103840	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             687940	            -687940	                  0
*   WBS NL-N-TS2-002-04-03-93      Electrolytic Cells i	                  0	            3590721	           -3590721	                  0	                  0	            3590721	           -3590721	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3590721	           -3590721	                  0
*   WBS NL-N-TS2-002-04-03-94      Hydraulic Torque wre	                  0	            1534639	           -1534639	                  0	                  0	            1534639	           -1534639	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1534639	           -1534639	                  0
*   WBS NL-N-TS2-002-04-03-95      10 KV Insulation Tes	                  0	             802164	            -802164	                  0	                  0	                  0	                  0	                  0	                  0	             802164	            -802164	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             802164	            -802164	                  0
*   WBS NL-N-TS2-002-04-03-96      Retrofit & Upgrade t	                  0	            2360667	           -2360667	                  0	                  0	            2360667	           -2360667	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2360667	           -2360667	                  0
*   WBS NL-N-TS2-002-04-03-97      Hydogen gas Compress	                  0	           18488301	          -18488301	                  0	                  0	           15408301	          -15408301	                  0	                  0	            3080000	           -3080000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18488301	          -18488301	                  0
*   WBS NL-N-TS2-002-04-03-98      Supply,insta and com	                  0	            2477528	           -2477528	                  0	                  0	            2477528	           -2477528	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2477528	           -2477528	                  0
*   WBS NL-N-TS2-002-04-03-99      1cX1000 Sq mm Al XLP	                  0	            3026029	           -3026029	                  0	                  0	                  0	                  0	                  0	                  0	            3026029	           -3026029	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3026029	           -3026029	                  0
**  WBS NL-N-TS2-002-04-04         ELECTRICAL MAINTENAN	          116000000	           35212712	           80787288	               69.6	                  0	           14244105	          -14244105	                  0	          116000000	           20968607	           95031393	               81.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          116000000	           35212712	           80787288	               69.6
*   WBS NL-N-TS2-002-04-04-01       Retrofitting of Sta	          116000000	                  0	          116000000	              100.0	                  0	                  0	                  0	                  0	          116000000	                  0	          116000000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          116000000	                  0	          116000000	              100.0
*   WBS NL-N-TS2-002-04-04-09      Purchase of Switchge	                  0	            5707638	           -5707638	                  0	                  0	            5707638	           -5707638	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5707638	           -5707638	                  0
*   WBS NL-N-TS2-002-04-04-10      Retrofit  of Switchg	                  0	            2239534	           -2239534	                  0	                  0	            2239534	           -2239534	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2239534	           -2239534	                  0
*   WBS NL-N-TS2-002-04-04-12      Supply & Retrofit of	                  0	           17123123	          -17123123	                  0	                  0	                  0	                  0	                  0	                  0	           17123123	          -17123123	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           17123123	          -17123123	                  0
*   WBS NL-N-TS2-002-04-04-13      Supply of spares&Rep	                  0	            1873457	           -1873457	                  0	                  0	            1873457	           -1873457	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1873457	           -1873457	                  0
*   WBS NL-N-TS2-002-04-04-14      Refurbish of Festoon	                  0	            1429792	           -1429792	                  0	                  0	            1429792	           -1429792	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1429792	           -1429792	                  0
*   WBS NL-N-TS2-002-04-04-26      2 ton  Battery power	                  0	             514985	            -514985	                  0	                  0	             514985	            -514985	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             514985	            -514985	                  0
*   WBS NL-N-TS2-002-04-04-27      2 Ton Battery powere	                  0	             516670	            -516670	                  0	                  0	             516670	            -516670	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             516670	            -516670	                  0
*   WBS NL-N-TS2-002-04-04-28      Refurbish of 3.5cX30	                  0	             526019	            -526019	                  0	                  0	                  0	                  0	                  0	                  0	             526019	            -526019	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             526019	            -526019	                  0
*   WBS NL-N-TS2-002-04-04-29      Procurement of Dewat	                  0	             136732	            -136732	                  0	                  0	             136732	            -136732	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             136732	            -136732	                  0
*   WBS NL-N-TS2-002-04-04-30      Procurement of MCM M	                  0	             190000	            -190000	                  0	                  0	             190000	            -190000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             190000	            -190000	                  0
*   WBS NL-N-TS2-002-04-04-31      Rotork make actuator	                  0	            1635298	           -1635298	                  0	                  0	            1635298	           -1635298	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1635298	           -1635298	                  0
*   WBS NL-N-TS2-002-04-04-32      Procurement of Stage	                  0	            1905927	           -1905927	                  0	                  0	                  0	                  0	                  0	                  0	            1905927	           -1905927	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1905927	           -1905927	                  0
*   WBS NL-N-TS2-002-04-04-35      Purchase of 12"/15"/	                  0	             281100	            -281100	                  0	                  0	                  0	                  0	                  0	                  0	             281100	            -281100	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             281100	            -281100	                  0
*   WBS NL-N-TS2-002-04-04-36      1100V grade,3.5C*35	                  0	             741735	            -741735	                  0	                  0	                  0	                  0	                  0	                  0	             741735	            -741735	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             741735	            -741735	                  0
*   WBS NL-N-TS2-002-04-04-41      WBS-Budget-Repair& R	                  0	             390703	            -390703	                  0	                  0	                  0	                  0	                  0	                  0	             390703	            -390703	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             390703	            -390703	                  0
**  WBS NL-N-TS2-002-04-05         SWITCH YARD	           81500000	           87719207	           -6219207	               -7.6	                  0	           86276388	          -86276388	                  0	           81500000	            1442818	           80057182	               98.2	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           81500000	           87719207	           -6219207	               -7.6
*   WBS NL-N-TS2-002-04-05-01       Secondphase 400kV I	           81500000	                  0	           81500000	              100.0	                  0	                  0	                  0	                  0	           81500000	                  0	           81500000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           81500000	                  0	           81500000	              100.0
*   WBS NL-N-TS2-002-04-05-03      Thermal Imaging Came	                  0	            3657174	           -3657174	                  0	                  0	            3657174	           -3657174	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3657174	           -3657174	                  0
*   WBS NL-N-TS2-002-04-05-04       Self propelled Scis	                  0	             465000	            -465000	                  0	                  0	             465000	            -465000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             465000	            -465000	                  0
*   WBS NL-N-TS2-002-04-05-11      360KV 20KA DISCHARGE	                  0	            1505226	           -1505226	                  0	                  0	            1505226	           -1505226	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1505226	           -1505226	                  0
*   WBS NL-N-TS2-002-04-05-12      245KV CTs Type-I & I	                  0	            8544755	           -8544755	                  0	                  0	            8544755	           -8544755	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8544755	           -8544755	                  0
*   WBS NL-N-TS2-002-04-05-13      Clamps for HTLS Cond	                  0	             873047	            -873047	                  0	                  0	             873047	            -873047	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             873047	            -873047	                  0
*   WBS NL-N-TS2-002-04-05-15      245KV SPRING OPERATE	                  0	            1659479	           -1659479	                  0	                  0	            1659479	           -1659479	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1659479	           -1659479	                  0
*   WBS NL-N-TS2-002-04-05-18      400KV Capacitance Vo	                  0	            2458380	           -2458380	                  0	                  0	            2458380	           -2458380	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2458380	           -2458380	                  0
*   WBS NL-N-TS2-002-04-05-19      Replacement of fault	                  0	             618910	            -618910	                  0	                  0	             618910	            -618910	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             618910	            -618910	                  0
*   WBS NL-N-TS2-002-04-05-20      Dead end & Suspensio	                  0	             687595	            -687595	                  0	                  0	             687595	            -687595	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             687595	            -687595	                  0
*   WBS NL-N-TS2-002-04-05-21      Extension of ABT EMS	                  0	            1592947	           -1592947	                  0	                  0	            1592947	           -1592947	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1592947	           -1592947	                  0
*   WBS NL-N-TS2-002-04-05-23       400kV SF6 gas Curre	                  0	            3781897	           -3781897	                  0	                  0	            3781897	           -3781897	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3781897	           -3781897	                  0
*   WBS NL-N-TS2-002-04-05-24      Retrofitting of 400K	                  0	           21776117	          -21776117	                  0	                  0	           21776117	          -21776117	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21776117	          -21776117	                  0
*   WBS NL-N-TS2-002-04-05-25      Replacement of 420 K	                  0	             191160	            -191160	                  0	                  0	             191160	            -191160	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             191160	            -191160	                  0
*   WBS NL-N-TS2-002-04-05-26      400KV Spring Operate	                  0	           19846903	          -19846903	                  0	                  0	           19846903	          -19846903	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           19846903	          -19846903	                  0
*   WBS NL-N-TS2-002-04-05-27      ABT Based Energy Met	                  0	            8724274	           -8724274	                  0	                  0	            8724274	           -8724274	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8724274	           -8724274	                  0
*   WBS NL-N-TS2-002-04-05-31      ST work for Repl of	                  0	             547520	            -547520	                  0	                  0	             547520	            -547520	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             547520	            -547520	                  0
