Plan/Actual/Variance	Current data (01.12.2025 16:15:22)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
6*  PRJ NL-N-PSE-001               Power Station Engg.	            5088000	            2906297	            2181703	               42.9	            2588000	            1395266	            1192734	               46.1	            2500000	            1511031	             988969	               39.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5088000	            2906297	            2181703	               42.9
6*  PRJ NL-N-PST-001               Power Station Traini	          179064895	            7058066	          172006829	               96.1	            9364895	            6355287	            3009608	               32.1	          169700000	             702779	          168997221	               99.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          179064895	            7058066	          172006829	               96.1
6*  PRJ NL-N-REP-001               Renewable Power Proj	           93600000	          206407129	         -112807129	             -120.5	           93600000	          201205526	         -107605526	             -115.0	                  0	            5201603	           -5201603	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           70300000	          206407129	         -136107129	             -193.6
6*  PRJ NL-N-ROC-001               RMO Chennai Non Plan	          187600000	           17929902	          169670098	               90.4	          187600000	           17929902	          169670098	               90.4	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           82800000	           17929902	           64870098	               78.3
6*  PRJ NL-N-SFT-001               Safety Non Plan CAPE	          129821000	            5581939	          124239061	               95.7	          129821000	            3286887	          126534113	               97.5	                  0	            2295052	           -2295052	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          129821000	            5581939	          124239061	               95.7
6*  PRJ NL-N-SFT-002               Central Safety Non-P	           54995000	                  0	           54995000	              100.0	                  0	                  0	                  0	                  0	           54995000	                  0	           54995000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           54995000	                  0	           54995000	              100.0
6*  PRJ NL-N-SOL-001               10MW Solar Power Pla	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9000000	                  0	            9000000	              100.0
6*  PRJ NL-N-T1E-001               TPS-I Exp Non Plan C	         3622840616	          773947350	         2848893266	               78.6	         2721840616	          594717037	         2127123579	               78.2	          901000000	          179230314	          721769686	               80.1	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2015190616	          773947350	         1241243266	               61.6
6*  PRJ NL-N-T2E-001               TPS2Exp - Non Plan C	          910885299	          349078770	          561806529	               61.7	          681116786	          309071068	          372045718	               54.6	          229768513	           40007702	          189760811	               82.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          910885299	          349078770	          561806529	               61.7
6*  PRJ NL-N-TAA-001               TA Non Plan CAPEX	          180527000	           44533238	          135993762	               75.3	          180527000	           44533238	          135993762	               75.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          176227000	           44533238	          131693762	               74.7
6*  PRJ NL-N-TAA-002               TA Non-Plan CapEx Op	                  0	           10493523	          -10493523	                  0	                  0	           10493523	          -10493523	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6786213	           10493523	           -3707310	              -54.6
6*  PRJ NL-N-TAA-003               TA Non-Plan Capital	          573137000	          471623785	          101513215	               17.7	          446562000	          269681755	          176880245	               39.6	          126575000	          201942029	          -75367029	              -59.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          572887000	          471623785	          101263215	               17.7
6*  PRJ NL-N-TRN-001               Transport Non Plan C	         1525600000	          890511018	          635088982	               41.6	         1525600000	          588507464	          937092536	               61.4	                  0	          302003554	         -302003554	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1566600000	          890511018	          676088982	               43.2
6*  PRJ NL-N-TS1-001               TPS- I Non Plan CAPE	           16180000	           10222177	            5957823	               36.8	           16180000	           10222177	            5957823	               36.8	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           16180000	           10222177	            5957823	               36.8
6*  PRJ NL-N-TS2-001               TPS-II Non Plan CAPE	           11000000	           16719450	           -5719450	              -52.0	                  0	           15106908	          -15106908	                  0	           11000000	            1612542	            9387458	               85.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11000000	           16719450	           -5719450	              -52.0
6*  PRJ NL-N-TS2-002               TPS-II LEP Stage I &	         6843837475	         3200263442	         3643574032	               53.2	         2855912771	         2811734034	           44178737	                1.5	         3987924704	          388529409	         3599395295	               90.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         6843837475	         3200263442	         3643574032	               53.2
6*  PRJ NL-N-VIG-001               Vigilance Non-Plan C	            1174432	            7388064	           -6213632	             -529.1	            1174432	            7388064	           -6213632	             -529.1	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1174432	            7388064	           -6213632	             -529.1
6*  PRJ NL-O-TS2-001               TS2 Unit 3 Annual Mt	            1022013	                  0	            1022013	              100.0	            1022013	                  0	            1022013	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1022013	                  0	            1022013	              100.0
6*  PRJ NL-S-CSR-001               NLC CSR Projects 201	                  0	          746959873	         -746959873	                  0	                  0	          746959873	         -746959873	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          746959873	         -746959873	                  0
6*  PRJ NL-S-CSR-003               CSR Master Project 2	            7404000	            4403987	            3000013	               40.5	            7404000	            4403987	            3000013	               40.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          250000000	            4403987	          245596013	               98.2
6*  PRJ NL-S-CSR-005               CSR Administrative O	            4500000	           20400124	          -15900124	             -353.3	            4500000	           20400124	          -15900124	             -353.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4500000	           20400124	          -15900124	             -353.3
6*  PRJ NL-S-CSR-007               CSR PBD Proc thro GE	            1040646	                  0	            1040646	              100.0	            1040646	                  0	            1040646	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1040646	                  0	            1040646	              100.0
6*  PRJ NL-S-CSR-008               O2 Plants in Tamilna	                  0	           27980751	          -27980751	                  0	                  0	           27980751	          -27980751	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           27980751	          -27980751	                  0
6*  PRJ NL-S-CSR-009               O2 Plants in Karnata	                  0	           44806785	          -44806785	                  0	                  0	           44806785	          -44806785	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           44806785	          -44806785	                  0
6*  PRJ NL-S-CSR-010               O2 Plants in Rajasth	                  0	           38576718	          -38576718	                  0	                  0	           38576718	          -38576718	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           38576718	          -38576718	                  0
6*  PRJ NL-S-CSR-011               O2 Plants in Odisha	                  0	            2256610	           -2256610	                  0	                  0	            2256610	           -2256610	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2256610	           -2256610	                  0
6*  PRJ NL-S-CSR-012               O2 Concentrators in	                  0	           21802057	          -21802057	                  0	                  0	           21802057	          -21802057	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21802057	          -21802057	                  0
6*  PRJ NL-S-CSR-013               O2 Concentrators in	                  0	           10812883	          -10812883	                  0	                  0	           10812883	          -10812883	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10812883	          -10812883	                  0
6*  PRJ NL-S-CSR-017               Hired BLS Ambulance	                  0	            5833542	           -5833542	                  0	                  0	            5833542	           -5833542	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5833542	           -5833542	                  0
6*  PRJ NL-S-CSR-018               Mask,Sanitizer,Soap	                  0	             220000	            -220000	                  0	                  0	             220000	            -220000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             220000	            -220000	                  0
6*  PRJ NL-S-CSR-019               Sanitizer,Soap Soln	                  0	             769641	            -769641	                  0	                  0	             769641	            -769641	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             769641	            -769641	                  0
6*  PRJ NL-S-CSR-020               CC Eqpmt Andaman Nic	                  0	             109728	            -109728	                  0	                  0	             109728	            -109728	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             109728	            -109728	                  0
6*  PRJ NL-S-CSR-021               SERI PPE kits to Cud	                  0	            3219980	           -3219980	                  0	                  0	            3219980	           -3219980	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3219980	           -3219980	                  0
6*  PRJ NL-S-CSR-022               Santhigiri Ashram- C	                  0	            1000000	           -1000000	                  0	                  0	            1000000	           -1000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1000000	           -1000000	                  0
6*  PRJ NL-S-CSR-023               PPE Kits to GH - Kat	                  0	            1385203	           -1385203	                  0	                  0	            1385203	           -1385203	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1385203	           -1385203	                  0
6*  PRJ NL-S-CSR-024               COVID 19 Measures FD	                  0	           11121517	          -11121517	                  0	                  0	           11121517	          -11121517	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11121517	          -11121517	                  0
6*  PRJ NL-S-CSR-027               Medical Camps	                  0	            2425160	           -2425160	                  0	                  0	            2425160	           -2425160	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2425160	           -2425160	                  0
6*  PRJ NL-S-CSR-028               Swachhta Packwada ac	                  0	             942279	            -942279	                  0	                  0	             942279	            -942279	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             942279	            -942279	                  0
6*  PRJ NL-S-CSR-029               Nutritional Support	                  0	            2519728	           -2519728	                  0	                  0	            2519728	           -2519728	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2519728	           -2519728	                  0
6*  PRJ NL-S-CSR-030               Posak - HIV+ve Socie	                  0	            1389846	           -1389846	                  0	                  0	            1389846	           -1389846	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1389846	           -1389846	                  0
6*  PRJ NL-S-CSR-031               Food Supliments to O	                  0	             832584	            -832584	                  0	                  0	             832584	            -832584	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             832584	            -832584	                  0
6*  PRJ NL-S-CSR-032               Food Supp. Annai Ter	                  0	             162903	            -162903	                  0	                  0	             162903	            -162903	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             162903	            -162903	                  0
6*  PRJ NL-S-CSR-033               Trauma Care Centre a	                  0	            1404091	           -1404091	                  0	                  0	            1404091	           -1404091	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1404091	           -1404091	                  0
6*  PRJ NL-S-CSR-035               Beti Bachao Scheme,	                  0	             199953	            -199953	                  0	                  0	             199953	            -199953	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             199953	            -199953	                  0
6*  PRJ NL-S-CSR-036               Medical Camps at Bar	                  0	             291100	            -291100	                  0	                  0	             291100	            -291100	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             291100	            -291100	                  0
6*  PRJ NL-S-CSR-037               Medical Services on	                  0	           13093566	          -13093566	                  0	                  0	           13093566	          -13093566	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13093566	          -13093566	                  0
6*  PRJ NL-S-CSR-038               2Nos of RCC OHT at K	                  0	             455622	            -455622	                  0	                  0	             455622	            -455622	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             455622	            -455622	                  0
6*  PRJ NL-S-CSR-039               Railway toilets by R	                  0	           43624950	          -43624950	                  0	                  0	           43624950	          -43624950	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           43624950	          -43624950	                  0
6*  PRJ NL-S-CSR-040               Hygiene and Healthca	                  0	            7074958	           -7074958	                  0	                  0	            7074958	           -7074958	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7074958	           -7074958	                  0
6*  PRJ NL-S-CSR-041               Education Support Se	                  0	            2433648	           -2433648	                  0	                  0	            2433648	           -2433648	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2433648	           -2433648	                  0
6*  PRJ NL-S-CSR-042               Beti Padhao Scheme B	                  0	             199912	            -199912	                  0	                  0	             199912	            -199912	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             199912	            -199912	                  0
6*  PRJ NL-S-CSR-043               Scholarship for Girl	                  0	             724166	            -724166	                  0	                  0	             724166	            -724166	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             724166	            -724166	                  0
6*  PRJ NL-S-CSR-044               Tution Fees for SC,	                  0	           45899030	          -45899030	                  0	                  0	           45899030	          -45899030	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           45899030	          -45899030	                  0
6*  PRJ NL-S-CSR-045               Educational Assistan	                  0	            4454000	           -4454000	                  0	                  0	            4454000	           -4454000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4454000	           -4454000	                  0
6*  PRJ NL-S-CSR-046               Educational promotio	                  0	             468393	            -468393	                  0	                  0	             468393	            -468393	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             468393	            -468393	                  0
6*  PRJ NL-S-CSR-047               Educational Assistan	                  0	           14885566	          -14885566	                  0	                  0	           14885566	          -14885566	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14885566	          -14885566	                  0
6*  PRJ NL-S-CSR-048               Financial Assistance	                  0	           50000000	          -50000000	                  0	                  0	           50000000	          -50000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           50000000	          -50000000	                  0
6*  PRJ NL-S-CSR-049               Fin. Asst. Sarada Ni	                  0	            9250000	           -9250000	                  0	                  0	            9250000	           -9250000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9250000	           -9250000	                  0
6*  PRJ NL-S-CSR-050               Skill Development fo	                  0	             382664	            -382664	                  0	                  0	             382664	            -382664	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             382664	            -382664	                  0
6*  PRJ NL-S-CSR-051               Fin. Asst. Gram Vika	                  0	            7969150	           -7969150	                  0	                  0	            7969150	           -7969150	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7969150	           -7969150	                  0
6*  PRJ NL-S-CSR-053               Conducting of sports	                  0	            1067841	           -1067841	                  0	                  0	            1067841	           -1067841	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1067841	           -1067841	                  0
6*  PRJ NL-S-CSR-054               Fin. Asst. to Olympi	                  0	            1500000	           -1500000	                  0	                  0	            1500000	           -1500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1500000	           -1500000	                  0
6*  PRJ NL-S-CSR-056               Janapravesh by NLC B	                  0	            6889941	           -6889941	                  0	                  0	            6889941	           -6889941	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6889941	           -6889941	                  0
6*  PRJ NL-S-CSR-058               Administrative Overh	                  0	           19825000	          -19825000	                  0	                  0	           19825000	          -19825000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           19825000	          -19825000	                  0
6*  PRJ NL-S-CSR-059               High School Transfor	                  0	           88500000	          -88500000	                  0	                  0	           88500000	          -88500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           88500000	          -88500000	                  0
6*  PRJ NL-S-CSR-060               Swachhta Activities	                  0	             836869	            -836869	                  0	                  0	             836869	            -836869	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             836869	            -836869	                  0
6*  PRJ NL-S-CSR-061               Lab equipments AU	                  0	           16416780	          -16416780	                  0	                  0	           16416780	          -16416780	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           16416780	          -16416780	                  0
6*  PRJ NL-S-CSR-062               Facilities Diploma M	                  0	            4859674	           -4859674	                  0	                  0	            4859674	           -4859674	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4859674	           -4859674	                  0
6*  PRJ NL-S-CSR-063               Trauma Care Centre K	                  0	           13136885	          -13136885	                  0	                  0	           13136885	          -13136885	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13136885	          -13136885	                  0
6*  PRJ NL-S-CSR-064               TB Sanatorium GF Cud	                  0	            8388348	           -8388348	                  0	                  0	            8388348	           -8388348	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8388348	           -8388348	                  0
6*  PRJ NL-S-CSR-065               OHT Kannadi Village	                  0	            1117577	           -1117577	                  0	                  0	            1117577	           -1117577	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1117577	           -1117577	                  0
6*  PRJ NL-S-CSR-066               O2 Generator Shed TN	                  0	            4794561	           -4794561	                  0	                  0	            4794561	           -4794561	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4794561	           -4794561	                  0
6*  PRJ NL-S-CSR-067               Public Toilet Blocks	                  0	           23797528	          -23797528	                  0	                  0	           23797528	          -23797528	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           23797528	          -23797528	                  0
6*  PRJ NL-S-CSR-068               FA Saradha Niketan C	                  0	            9250000	           -9250000	                  0	                  0	            9250000	           -9250000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9250000	           -9250000	                  0
