Budget/Actual/Commitment/Assigned	Current data (12.05.2026 12:25:20)
	Overall values	Overall values	Overall values	Overall values	Overall values	2021	2021	2021	2021	2021	2022	2022	2022	2022	2022	2023	2023	2023	2023	2023	2024	2024	2024	2024	2024	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028	2028	2028	2028	2028	2029	2029	2029	2029	2029	2030	2030	2030	2030	2030	2031	2031	2031	2031	2031	Total of years	Total of years	Total of years	Total of years	Total of years
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   WBS NL-N-TS2-002-04-05-04       Self propelled Scis	          465000.00	          465000.00	               0.00	          465000.00	               0.00	          465000.00	          465000.00	               0.00	          465000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          465000.00	          465000.00	               0.00	          465000.00	               0.00
*   WBS NL-N-TS2-002-04-05-11      360KV 20KA DISCHARGE	         1505225.72	         1505225.72	               0.00	         1505225.72	               0.00	         1505225.72	         1505225.72	               0.00	         1505225.72	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1505225.72	         1505225.72	               0.00	         1505225.72	               0.00
*   WBS NL-N-TS2-002-04-05-12      245KV CTs Type-I & I	         8544755.11	         8544755.11	               0.00	         8544755.11	               0.00	         8544755.11	         8544755.11	               0.00	         8544755.11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8544755.11	         8544755.11	               0.00	         8544755.11	               0.00
*   WBS NL-N-TS2-002-04-05-13      Clamps for HTLS Cond	          873047.05	          873047.05	               0.00	          873047.05	               0.00	          873047.05	          873047.05	               0.00	          873047.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          873047.05	          873047.05	               0.00	          873047.05	               0.00
*   WBS NL-N-TS2-002-04-05-14      Self propelled Artic	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   WBS NL-N-TS2-002-04-05-15      245KV SPRING OPERATE	        11206361.87	         1659478.89	         9546882.98	        11206361.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1659478.89	         1659478.89	               0.00	         1659478.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9546882.98	               0.00	         9546882.98	         9546882.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        11206361.87	         1659478.89	         9546882.98	        11206361.87	               0.00
*   WBS NL-N-TS2-002-04-05-16      Proc 245kV DB isolat	        14600120.80	               0.00	        14600120.80	        14600120.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14600120.80	               0.00	        14600120.80	        14600120.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14600120.80	               0.00	        14600120.80	        14600120.80	               0.00
*   WBS NL-N-TS2-002-04-05-17      245KV SF6 Gas Curren	         8989240.00	               0.00	         8989240.00	         8989240.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8989240.00	               0.00	         8989240.00	         8989240.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8989240.00	               0.00	         8989240.00	         8989240.00	               0.00
*   WBS NL-N-TS2-002-04-05-18      400KV Capacitance Vo	         2458379.79	         2458379.79	               0.00	         2458379.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2458379.79	         2458379.79	               0.00	         2458379.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2458379.79	         2458379.79	               0.00	         2458379.79	               0.00
*   WBS NL-N-TS2-002-04-05-19      Replacement of fault	          634910.00	          618910.00	           16000.00	          634910.00	               0.00	          618910.00	          618910.00	               0.00	          618910.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           16000.00	               0.00	           16000.00	           16000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          634910.00	          618910.00	           16000.00	          634910.00	               0.00
*   WBS NL-N-TS2-002-04-05-20      Dead end & Suspensio	          687595.24	          687595.24	               0.00	          687595.24	               0.00	          687595.24	          687595.24	               0.00	          687595.24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          687595.24	          687595.24	               0.00	          687595.24	               0.00
*   WBS NL-N-TS2-002-04-05-21      Extension of ABT EMS	         1592946.60	         1592946.60	               0.00	         1592946.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1592946.60	         1592946.60	               0.00	         1592946.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1592946.60	         1592946.60	               0.00	         1592946.60	               0.00
*   WBS NL-N-TS2-002-04-05-23       400kV SF6 gas Curre	         3781897.12	         3781897.12	               0.00	         3781897.12	               0.00	         3781897.12	         3781897.12	               0.00	         3781897.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3781897.12	         3781897.12	               0.00	         3781897.12	               0.00
*   WBS NL-N-TS2-002-04-05-24      Retrofitting of 400K	        21776116.60	        21776116.60	               0.00	        21776116.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        21776116.60	        21776116.60	               0.00	        21776116.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        21776116.60	        21776116.60	               0.00	        21776116.60	               0.00
*   WBS NL-N-TS2-002-04-05-25      Replacement of 420 K	          191160.00	          191160.00	               0.00	          191160.00	               0.00	          191160.00	          191160.00	               0.00	          191160.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          191160.00	          191160.00	               0.00	          191160.00	               0.00
*   WBS NL-N-TS2-002-04-05-26      400KV Spring Operate	        19846903.40	        19846903.40	               0.00	        19846903.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        19846903.40	        19846903.40	               0.00	        19846903.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        19846903.40	        19846903.40	               0.00	        19846903.40	               0.00
*   WBS NL-N-TS2-002-04-05-27      ABT Based Energy Met	        10469303.28	         8724273.78	         1745029.50	        10469303.28	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8724273.78	         8724273.78	               0.00	         8724273.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1745029.50	               0.00	         1745029.50	         1745029.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10469303.28	         8724273.78	         1745029.50	        10469303.28	               0.00
*   WBS NL-N-TS2-002-04-05-31      ST work for Repl of	          818520.03	          547520.00	          271000.03	          818520.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          311520.00	          311520.00	               0.00	          311520.00	               0.00	          236000.00	          236000.00	               0.00	          236000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          271000.03	               0.00	          271000.03	          271000.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          818520.03	          547520.00	          271000.03	          818520.03	               0.00
*   WBS NL-N-TS2-002-04-05-32      Reconductoring  Exis	         2147600.03	         1342250.00	          805350.03	         2147600.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1342250.00	         1342250.00	               0.00	         1342250.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          805350.03	               0.00	          805350.03	          805350.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2147600.03	         1342250.00	          805350.03	         2147600.03	               0.00
*   WBS NL-N-TS2-002-04-05-33      Supply & Servicing o	        10749857.21	         9446573.20	               0.01	         9446573.21	         1303284.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8003754.74	         8003754.74	               0.00	         8003754.74	               0.00	         1442818.46	         1442818.46	               0.00	         1442818.46	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1303284.01	               0.00	               0.01	               0.01	         1303284.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10749857.21	         9446573.20	               0.01	         9446573.21	         1303284.00
*   WBS NL-N-TS2-002-04-05-34      Supply and installat	         9956000.00	               0.00	         9956000.00	         9956000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9956000.00	               0.00	         9956000.00	         9956000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9956000.00	               0.00	         9956000.00	         9956000.00	               0.00
*   WBS NL-N-TS2-002-04-05-35      Comm of 230 kv 1200	       136500000.36	               0.00	       136500000.36	       136500000.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       136500000.36	               0.00	       136500000.36	       136500000.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       136500000.36	               0.00	       136500000.36	       136500000.36	               0.00
*   WBS NL-N-TS2-002-04-05-36      PUR OF 360KV 20KA LI	         3073251.00	         3073251.00	               0.00	         3073251.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3073251.00	         3073251.00	               0.00	         3073251.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3073251.00	         3073251.00	               0.00	         3073251.00	               0.00
*   WBS NL-N-TS2-002-04-05-37      PUR OF 360KV 20KA LI	        13246674.03	        13246674.03	               0.00	        13246674.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13246674.03	        13246674.03	               0.00	        13246674.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13246674.03	        13246674.03	               0.00	        13246674.03	               0.00
*   WBS NL-N-TS2-002-04-05-39      4T BATTERY OPERATED	         8599953.13	               0.00	         8599953.13	         8599953.13	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8599953.13	               0.00	         8599953.13	         8599953.13	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8599953.13	               0.00	         8599953.13	         8599953.13	               0.00
*   WBS NL-N-TS2-002-04-05-40      SF6 GAS ANALYZER	         2168250.00	               0.00	         2168250.00	         2168250.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2168250.00	               0.00	         2168250.00	         2168250.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2168250.00	               0.00	         2168250.00	         2168250.00	               0.00
*   WBS NL-N-TS2-002-04-05-41      245kv SIEMENS CIRCUI	         8563119.87	         7439059.84	         1124060.03	         8563119.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7439059.84	         7439059.84	               0.00	         7439059.84	               0.00	         1124060.03	               0.00	         1124060.03	         1124060.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8563119.87	         7439059.84	         1124060.03	         8563119.87	               0.00
*   WBS NL-N-TS2-002-04-05-42      BACK-UP COVER AND EA	          596047.50	               0.00	          596047.50	          596047.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          596047.50	               0.00	          596047.50	          596047.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          596047.50	               0.00	          596047.50	          596047.50	               0.00
*   WBS NL-N-TS2-002-04-05-43      PROCUREMENT OF 3NOS	         1937263.00	               0.00	         1937263.00	         1937263.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1937263.00	               0.00	         1937263.00	         1937263.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1937263.00	               0.00	         1937263.00	         1937263.00	               0.00
*   WBS NL-N-TS2-002-04-05-45      Schneider control sp	          263918.80	               0.00	          263918.80	          263918.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          263918.80	               0.00	          263918.80	          263918.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          263918.80	               0.00	          263918.80	          263918.80	               0.00
*   WBS NL-N-TS2-002-04-05-46      400 kV SF6 Spring op	        15780000.00	               0.00	        15780000.00	        15780000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        15780000.00	               0.00	        15780000.00	        15780000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        15780000.00	               0.00	        15780000.00	        15780000.00	               0.00
*   WBS NL-N-TS2-002-04-05-47      Retrofit of RTU Remo	        14304490.00	               0.00	        14304490.00	        14304490.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14304490.00	               0.00	        14304490.00	        14304490.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14304490.00	               0.00	        14304490.00	        14304490.00	               0.00
*   WBS NL-N-TS2-002-04-05-48      UPGRADE PHASE 1 PLC	         7345330.00	               0.00	         7345330.00	         7345330.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7345330.00	               0.00	         7345330.00	         7345330.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7345330.00	               0.00	         7345330.00	         7345330.00	               0.00
**  WBS NL-N-TS2-002-04-06         MRT	        46393250.06	         9467363.35	        36925886.71	        46393250.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1148068.01	         1148068.01	               0.00	         1148068.01	               0.00	         7818092.90	         7818092.90	               0.00	         7818092.90	               0.00	          501202.44	          501202.44	               0.00	          501202.44	               0.00	        36925886.71	               0.00	        36925886.71	        36925886.71	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        46393250.06	         9467363.35	        36925886.71	        46393250.06	               0.00
