Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (28.04.2025 15:16:52)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*    control Valve PV6   WBS NL-N-T1E-001-05-28	         2024266.00	         2024266.00	               0.00	         2024266.00	               0.00	         2024266.00	         2024266.00	               0.00	         2024266.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2024266.00	         2024266.00	               0.00	         2024266.00	               0.00
*   Up gradation of TSI  WBS NL-N-T1E-001-05-29	         9669817.50	         7937817.50	         1732000.00	         9669817.50	               0.00	         9669817.50	         7937817.50	         1732000.00	         9669817.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9669817.50	         7937817.50	         1732000.00	         9669817.50	               0.00
*    Saftey control unit WBS NL-N-T1E-001-05-30	         1947071.01	               0.00	         1947071.01	         1947071.01	               0.00	         1947071.01	               0.00	         1947071.01	         1947071.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1947071.01	               0.00	         1947071.01	         1947071.01	               0.00
*   Online SPM (Opacity) WBS NL-N-T1E-001-05-31	          585106.00	               0.00	          585106.00	          585106.00	               0.00	          585106.00	               0.00	          585106.00	          585106.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          585106.00	               0.00	          585106.00	          585106.00	               0.00
*   One set of Electroni WBS NL-N-T1E-001-05-32	         8043790.79	               0.00	         8043790.79	         8043790.79	               0.00	         8043790.79	               0.00	         8043790.79	         8043790.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8043790.79	               0.00	         8043790.79	         8043790.79	               0.00
*   Hydrogen purity anal WBS NL-N-T1E-001-05-33	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Flue gas analyser se WBS NL-N-T1E-001-05-34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Ultrasonic flowmeter WBS NL-N-T1E-001-05-35	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Lab equipments elect WBS NL-N-T1E-001-05-36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   DCS controller upgra WBS NL-N-T1E-001-05-37	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   TSI UPGRADATION seco WBS NL-N-T1E-001-05-38	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   BYPASS spares        WBS NL-N-T1E-001-05-39	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Critical spares      WBS NL-N-T1E-001-05-40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Hydrogen purity syst WBS NL-N-T1E-001-05-41	         1051703.00	               0.00	         1051703.00	         1051703.00	               0.00	         1051703.00	               0.00	         1051703.00	         1051703.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1051703.00	               0.00	         1051703.00	         1051703.00	               0.00
*   Double acting remote WBS NL-N-T1E-001-05-42	         2278579.92	               0.00	         2278579.92	         2278579.92	               0.00	         2278579.92	               0.00	         2278579.92	         2278579.92	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2278579.92	               0.00	         2278579.92	         2278579.92	               0.00
*   PVR10 Modules for HP WBS NL-N-T1E-001-05-43	         2423750.68	               0.00	         2423750.68	         2423750.68	               0.00	         2423750.68	               0.00	         2423750.68	         2423750.68	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2423750.68	               0.00	         2423750.68	         2423750.68	               0.00
*   EPRO differential ex WBS NL-N-T1E-001-05-44	         2383600.00	               0.00	         2383600.00	         2383600.00	               0.00	         2383600.00	               0.00	               0.00	               0.00	         2383600.00	               0.00	               0.00	         2383600.00	         2383600.00	        -2383600.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2383600.00	               0.00	         2383600.00	         2383600.00	               0.00
**  LHS                  WBS NL-N-T1E-001-06	        51573215.25	        40802813.88	        10770401.37	        51573215.25	               0.00	        51573215.25	        40728415.91	         9920201.35	        50648617.26	          924597.99	               0.00	           74397.97	          850200.02	          924597.99	         -924597.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        51573215.25	        40802813.88	        10770401.37	        51573215.25	               0.00
*   Magnetic Seperator   WBS NL-N-T1E-001-06-01	         5876033.08	         5876033.08	               0.00	         5876033.08	               0.00	         5876033.08	         5876033.08	               0.00	         5876033.08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5876033.08	         5876033.08	               0.00	         5876033.08	               0.00
*   Tools & Tackles      WBS NL-N-T1E-001-06-02	          642000.01	          642000.01	               0.00	          642000.01	               0.00	          642000.01	          642000.01	               0.00	          642000.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          642000.01	          642000.01	               0.00	          642000.01	               0.00
*   AHS TOOLS & TACKLES  WBS NL-N-T1E-001-06-03	          590223.28	           23941.28	          566282.00	          590223.28	               0.00	          590223.28	           23941.28	          566282.00	          590223.28	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          590223.28	           23941.28	          566282.00	          590223.28	               0.00
*   Drive pulley of Ø 80 WBS NL-N-T1E-001-06-04	          775265.96	          387632.98	          387632.98	          775265.96	               0.00	          775265.96	          387632.98	          387632.98	          775265.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          775265.96	          387632.98	          387632.98	          775265.96	               0.00
*   Gearbox for HT Conve WBS NL-N-T1E-001-06-05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Battery operated Tru WBS NL-N-T1E-001-06-06	             394.30	             394.30	               0.00	             394.30	               0.00	             394.30	             394.30	               0.00	             394.30	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             394.30	             394.30	               0.00	             394.30	               0.00
*   Industrial Vacuum Cl WBS NL-N-T1E-001-06-07	          776756.24	          776756.24	               0.00	          776756.24	               0.00	          776756.24	          776756.24	               0.00	          776756.24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          776756.24	          776756.24	               0.00	          776756.24	               0.00
*   HT&LT Con GearBox    WBS NL-N-T1E-001-06-08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Dust Supression syst WBS NL-N-T1E-001-06-09	        22155338.98	        17658250.00	         4497088.98	        22155338.98	               0.00	        22155338.98	        17658250.00	         4497088.98	        22155338.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        22155338.98	        17658250.00	         4497088.98	        22155338.98	               0.00
*    HYDRO KRAFT PISTON  WBS NL-N-T1E-001-06-11	        14880000.01	        14880000.01	               0.00	        14880000.01	               0.00	        14880000.01	        14880000.01	               0.00	        14880000.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14880000.01	        14880000.01	               0.00	        14880000.01	               0.00
*   Roller screen spares WBS NL-N-T1E-001-06-12	         1386911.99	               0.00	         1386911.99	         1386911.99	               0.00	         1386911.99	               0.00	         1386911.99	         1386911.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1386911.99	               0.00	         1386911.99	         1386911.99	               0.00
*   Drilling Machine     WBS NL-N-T1E-001-06-13	           46000.00	               0.00	           46000.00	           46000.00	               0.00	           46000.00	               0.00	           46000.00	           46000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           46000.00	               0.00	           46000.00	           46000.00	               0.00
*   Fluid Coupling for R WBS NL-N-T1E-001-06-14	          850200.02	               0.00	          850200.02	          850200.02	               0.00	          850200.02	               0.00	               0.00	               0.00	          850200.02	               0.00	               0.00	          850200.02	          850200.02	         -850200.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          850200.02	               0.00	          850200.02	          850200.02	               0.00
*   Hydraulic Jack & Pum WBS NL-N-T1E-001-06-15	          113400.00	               0.00	          113400.00	          113400.00	               0.00	          113400.00	               0.00	          113400.00	          113400.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          113400.00	               0.00	          113400.00	          113400.00	               0.00
*   Wet Slurry Line Repl WBS NL-N-T1E-001-06-16	         1404000.00	               0.00	         1404000.00	         1404000.00	               0.00	         1404000.00	               0.00	         1404000.00	         1404000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1404000.00	               0.00	         1404000.00	         1404000.00	               0.00
*   Fluid Coupling for H WBS NL-N-T1E-001-06-17	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Screw Compressors fo WBS NL-N-T1E-001-06-18	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Fly wheel for Air co WBS NL-N-T1E-001-06-19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Crusher Labyrinth Ho WBS NL-N-T1E-001-06-20	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Crushing Plates      WBS NL-N-T1E-001-06-21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Crusher Roll Shaft B WBS NL-N-T1E-001-06-22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   KCN 400 Gear Box Bea WBS NL-N-T1E-001-06-23	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Fliud Coupling for K WBS NL-N-T1E-001-06-24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Gear Box for Shuttle WBS NL-N-T1E-001-06-25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Drilling Machine -AH WBS NL-N-T1E-001-06-26	          196380.02	          196380.02	               0.00	          196380.02	               0.00	          196380.02	          196380.02	               0.00	          196380.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          196380.02	          196380.02	               0.00	          196380.02	               0.00
*   50T&100T HYDRAULIC J WBS NL-N-T1E-001-06-27	          287027.99	          287027.99	               0.00	          287027.99	               0.00	          287027.99	          287027.99	               0.00	          287027.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          287027.99	          287027.99	               0.00	          287027.99	               0.00
*   vivad se viswas LHS  WBS NL-N-T1E-001-06-28	           50000.00	               0.00	           50000.00	           50000.00	               0.00	           50000.00	               0.00	           50000.00	           50000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           50000.00	               0.00	           50000.00	           50000.00	               0.00
*   ROTORY TWIN LOBE COM WBS NL-N-T1E-001-06-29	          893885.40	               0.00	          893885.40	          893885.40	               0.00	          893885.40	               0.00	          893885.40	          893885.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          893885.40	               0.00	          893885.40	          893885.40	               0.00
*   3 HP MONO BLK PUMP   WBS NL-N-T1E-001-06-30	           24799.99	           24799.99	               0.00	           24799.99	               0.00	           24799.99	               0.00	               0.00	               0.00	           24799.99	               0.00	           24799.99	               0.00	           24799.99	          -24799.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           24799.99	           24799.99	               0.00	           24799.99	               0.00
*   1 HP MONO BLK PUMP   WBS NL-N-T1E-001-06-31	           49597.98	           49597.98	               0.00	           49597.98	               0.00	           49597.98	               0.00	               0.00	               0.00	           49597.98	               0.00	           49597.98	               0.00	           49597.98	          -49597.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           49597.98	           49597.98	               0.00	           49597.98	               0.00
*   Mobile Scissor Lift  WBS NL-N-T1E-001-06-33	          575000.00	               0.00	          575000.00	          575000.00	               0.00	          575000.00	               0.00	          575000.00	          575000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          575000.00	               0.00	          575000.00	          575000.00	               0.00
**  TURBINE MAINTENANCE  WBS NL-N-T1E-001-07	       428204787.54	       232399665.96	       195805121.57	       428204787.53	               0.01	       428204787.54	       196152124.07	       181475747.79	       377627871.86	        50576915.68	               0.00	        36247541.89	        14329373.78	        50576915.67	       -50576915.67	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       428204787.54	       232399665.96	       195805121.57	       428204787.53	               0.01
*   Tools                WBS NL-N-T1E-001-07-01	          821516.00	          821516.00	               0.00	          821516.00	               0.00	          821516.00	          821516.00	               0.00	          821516.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          821516.00	          821516.00	               0.00	          821516.00	               0.00
*   HP HEATER -7 for U1  WBS NL-N-T1E-001-07-02	        34028465.84	        34028465.84	               0.00	        34028465.84	               0.00	        34028465.84	        34028465.84	               0.00	        34028465.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        34028465.84	        34028465.84	               0.00	        34028465.84	               0.00
*   Fire Extinguishers   WBS NL-N-T1E-001-07-03	           35164.00	           35164.00	               0.00	           35164.00	               0.00	           35164.00	           35164.00	               0.00	           35164.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           35164.00	           35164.00	               0.00	           35164.00	               0.00
*   Portable Works & Too WBS NL-N-T1E-001-07-04	          545240.00	          545240.00	               0.00	          545240.00	               0.00	          545240.00	          545240.00	               0.00	          545240.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          545240.00	          545240.00	               0.00	          545240.00	               0.00
*   Deaerator level cont WBS NL-N-T1E-001-07-05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*    BFP RC Valve Retrof WBS NL-N-T1E-001-07-06	         1554567.31	         1554567.31	               0.00	         1554567.31	               0.00	         1554567.31	         1554567.31	               0.00	         1554567.31	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1554567.31	         1554567.31	               0.00	         1554567.31	               0.00
*   Portable oil filtrat WBS NL-N-T1E-001-07-07	          885933.03	          885933.03	               0.00	          885933.03	               0.00	          885933.03	          885933.03	               0.00	          885933.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          885933.03	          885933.03	               0.00	          885933.03	               0.00
*   Forebay makeup line  WBS NL-N-T1E-001-07-08	        24478787.81	        20884930.04	         3593857.77	        24478787.81	               0.00	        24478787.81	        20884930.04	         3593857.77	        24478787.81	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        24478787.81	        20884930.04	         3593857.77	        24478787.81	               0.00
*   FOPH Foaming system  WBS NL-N-T1E-001-07-09	        13713837.61	         9901883.82	         3811953.78	        13713837.60	               0.01	        13713837.61	         9901883.82	         3811953.78	        13713837.60	               0.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13713837.61	         9901883.82	         3811953.78	        13713837.60	               0.01
*   Laser alignment tool WBS NL-N-T1E-001-07-10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Welding Machine      WBS NL-N-T1E-001-07-11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
