Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (28.04.2025 15:16:52)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   Coupling set for MIL WBS NL-N-T1E-001-01-10	          991200.00	          991200.00	               0.00	          991200.00	               0.00	          991200.00	          991200.00	               0.00	          991200.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          991200.00	          991200.00	               0.00	          991200.00	               0.00
*   ID Fan blades & blad WBS NL-N-T1E-001-01-11	         6564319.04	         6564319.04	               0.00	         6564319.04	               0.00	         6564319.04	         6564319.04	               0.00	         6564319.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6564319.04	         6564319.04	               0.00	         6564319.04	               0.00
*   SH spray control val WBS NL-N-T1E-001-01-12	         2443994.85	         2443994.85	               0.00	         2443994.85	               0.00	         2443994.85	         2443994.85	               0.00	         2443994.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2443994.85	         2443994.85	               0.00	         2443994.85	               0.00
*   FD Fan Silencer Elem WBS NL-N-T1E-001-01-13	         1615758.43	         1615758.43	               0.00	         1615758.43	               0.00	         1615758.43	         1615758.43	               0.00	         1615758.43	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1615758.43	         1615758.43	               0.00	         1615758.43	               0.00
*   RAPH drive gear boxe WBS NL-N-T1E-001-01-14	         2497824.00	         2497824.00	               0.00	         2497824.00	               0.00	         2497824.00	         2497824.00	               0.00	         2497824.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2497824.00	         2497824.00	               0.00	         2497824.00	               0.00
*   Spherical roller bea WBS NL-N-T1E-001-01-15	          291200.00	          291200.00	               0.00	          291200.00	               0.00	          291200.00	          291200.00	               0.00	          291200.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          291200.00	          291200.00	               0.00	          291200.00	               0.00
*   MEJ for 12mL & 20mL  WBS NL-N-T1E-001-01-16	         1301350.00	               0.00	         1301350.00	         1301350.00	               0.00	         1301350.00	               0.00	         1301350.00	         1301350.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1301350.00	               0.00	         1301350.00	         1301350.00	               0.00
*   Bridge Plate for Bea WBS NL-N-T1E-001-01-17	          781275.78	          390637.89	          390637.89	          781275.78	               0.00	          781275.78	               0.00	          390637.89	          390637.89	          390637.89	               0.00	          390637.89	               0.00	          390637.89	         -390637.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          781275.78	          390637.89	          390637.89	          781275.78	               0.00
*   Rotor Remover Liftin WBS NL-N-T1E-001-01-18	        87700000.12	               0.00	        87700000.12	        87700000.12	               0.00	        87700000.12	               0.00	        87700000.12	        87700000.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        87700000.12	               0.00	        87700000.12	        87700000.12	               0.00
*   spherical roller bea WBS NL-N-T1E-001-01-20	         3010800.02	               0.00	         3010800.02	         3010800.02	               0.00	         3010800.02	               0.00	               0.00	               0.00	         3010800.02	               0.00	               0.00	         3010800.02	         3010800.02	        -3010800.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3010800.02	               0.00	         3010800.02	         3010800.02	               0.00
