Budget Updates	Current data (26.11.2025 12:26:23)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-C-MN3-001               Mines III Capex Proj	            2484335	                  0	           -1148435	                  0	            1335900	            1318292	            1234335	                  0	           -1148435	                  0	              85900	              85900	            1250000	                  0	                  0	                  0	            1250000	            1232392	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2484335	                  0	           -1148435	                  0	            1335900	            1318292
5*  PRJ NL-C-MTL-001               Talabira II & III OC	         1640000000	                  0	                  0	                  0	         1640000000	         1640000000	         1640000000	                  0	                  0	                  0	         1640000000	         1640000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1640000000	                  0	                  0	                  0	         1640000000	         1640000000
5*  PRJ NL-C-MTL-002               Talabira II & III OC	         3261290713	         2377039750	        -1638603608	                  0	         3999726855	         3945516554	         1261290713	         2377039750	         -355853980	                  0	          855819788	          855819788	         2000000000	                  0	        -1282749628	                  0	         3143907067	         3089696767	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         3261290713	         2377039750	        -1638603608	                  0	         3999726855	         3999726855
5*  PRJ NL-C-NDM-001               North Dhadu (Western	         1000000000	                  0	                  0	                  0	         1000000000	          535000000	                  0	                  0	                  0	                  0	                  0	                  0	         1000000000	                  0	                  0	                  0	         1000000000	          535000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1000000000	                  0	                  0	                  0	         1000000000	          535000000
5*  PRJ NL-C-NNT-001               NNTPP CAPEX PROJECT	          900000000	         1220002000	                  0	                  0	         2120002000	          476293780	          900000000	         1220002000	                  0	                  0	         1295641300	          434393622	                  0	                  0	                  0	                  0	          824360700	           41900157	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          900000000	         1220002000	                  0	                  0	         2120002000	         2062039675
5*  PRJ NL-C-NNT-002               NNTPP Flue Gas Desul	         4370000000	         7285191407	         -340952707	                  0	        11314238701	        11071127964	         3645000000	         7285191407	         -278355028	                  0	         9467705623	         9467705623	          725000000	                  0	          -62597679	                  0	         1846533078	         1603422341	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         4370000000	         7285191407	         -340952707	                  0	        11314238701	        11271127964
5*  PRJ NL-C-NPS-001               New Patrapara South	         2400000000	                  0	                  0	                  0	         2400000000	           15462198	         2400000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2400000000	           15462198	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2400000000	                  0	                  0	                  0	         2400000000	          765195603
5*  PRJ NL-C-PBD-001               IREDA-CPSU Scheme Ph	           60180000	                  0	                  0	                  0	           60180000	                  0	           60180000	                  0	                  0	                  0	           60180000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           60180000	                  0	                  0	                  0	           60180000	                  0
5*  PRJ NL-C-PBD-002               Neyveli 2x65 MW Sola	                  0	           10669830	                  0	                  0	           10669830	                  0	                  0	           10669830	                  0	                  0	           10669830	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10669830	                  0	                  0	           10669830	           10669830
5*  PRJ NL-C-SOL-001               Solar 10 MW Power Pr	          175000000	                  0	                  0	                  0	          175000000	                  0	          175000000	                  0	                  0	                  0	          175000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          175000000	                  0	                  0	                  0	          175000000	                  0
