Budget Updates	Current data (26.11.2025 12:26:23)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-S-CSR-006               CSR Activity 1.2 (15	            1000000	                  0	                  0	                  0	            1000000	                  0	            1000000	                  0	                  0	                  0	            1000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2000000	                  0	                  0	                  0	            2000000	                  0
5*  PRJ NL-S-CSR-008               O2 Plants in Tamilna	           49840000	                  0	          -18840000	                  0	           31000000	           31000000	           49840000	                  0	          -18840000	                  0	           31000000	           31000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           49840000	                  0	          -18840000	                  0	           31000000	           31000000
5*  PRJ NL-S-CSR-009               O2 Plants in Karnata	           47320000	                  0	                  0	                  0	           47320000	           47320000	           47320000	                  0	                  0	                  0	           47320000	           47320000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           47320000	                  0	                  0	                  0	           47320000	           47320000
5*  PRJ NL-S-CSR-010               O2 Plants in Rajasth	           42020000	                  0	                  0	                  0	           42020000	           42020000	           42020000	                  0	                  0	                  0	           42020000	           42020000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           42020000	                  0	                  0	                  0	           42020000	           42020000
5*  PRJ NL-S-CSR-011               O2 Plants in Odisha	            7120000	                  0	                  0	                  0	            7120000	            7120000	            7120000	                  0	                  0	                  0	            7120000	            7120000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7120000	                  0	                  0	                  0	            7120000	            7120000
5*  PRJ NL-S-CSR-012               O2 Concentrators in	           28000000	                  0	                  0	                  0	           28000000	           28000000	           28000000	                  0	                  0	                  0	           28000000	           28000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           28000000	                  0	                  0	                  0	           28000000	           28000000
5*  PRJ NL-S-CSR-013               O2 Concentrators in	           14000000	                  0	                  0	                  0	           14000000	           14000000	           14000000	                  0	                  0	                  0	           14000000	           14000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14000000	                  0	                  0	                  0	           14000000	           14000000
5*  PRJ NL-S-CSR-014               O2 Concentrators in	           14000000	                  0	          -14000000	                  0	                  0	                  0	           14000000	                  0	          -14000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14000000	                  0	          -14000000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-015               O2 Cylinders & Conce	            3651000	                  0	           -3651000	                  0	                  0	                  0	            3651000	                  0	           -3651000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3651000	                  0	           -3651000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-016               ICU Beds,Ventillator	           21004000	                  0	          -21004000	                  0	                  0	                  0	           21004000	                  0	          -21004000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21004000	                  0	          -21004000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-017               Hired BLS Ambulance	            5904000	                  0	                  0	                  0	            5904000	            5904000	            5904000	                  0	                  0	                  0	            5904000	            5904000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5904000	                  0	                  0	                  0	            5904000	            5904000
5*  PRJ NL-S-CSR-018               Mask,Sanitizer,Soap	             220000	                  0	                  0	                  0	             220000	             220000	             220000	                  0	                  0	                  0	             220000	             220000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             220000	                  0	                  0	                  0	             220000	             220000
5*  PRJ NL-S-CSR-019               Sanitizer,Soap Soln	             797000	                  0	                  0	                  0	             797000	             797000	             797000	                  0	                  0	                  0	             797000	             797000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             797000	                  0	                  0	                  0	             797000	             797000
5*  PRJ NL-S-CSR-020               CC Eqpmt Andaman Nic	             110000	                  0	                  0	                  0	             110000	             110000	             110000	                  0	                  0	                  0	             110000	             110000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             110000	                  0	                  0	                  0	             110000	             110000
5*  PRJ NL-S-CSR-021               SERI PPE kits to Cud	            3220000	                  0	                  0	                  0	            3220000	            3220000	            3220000	                  0	                  0	                  0	            3220000	            3220000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3220000	                  0	                  0	                  0	            3220000	            3220000
5*  PRJ NL-S-CSR-022               Santhigiri Ashram- C	            1000000	                  0	                  0	                  0	            1000000	            1000000	            1000000	                  0	                  0	                  0	            1000000	            1000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1000000	                  0	                  0	                  0	            1000000	            1000000
5*  PRJ NL-S-CSR-023               PPE Kits to GH - Kat	            6000000	                  0	                  0	                  0	            6000000	            6000000	            6000000	                  0	                  0	                  0	            6000000	            6000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6000000	                  0	                  0	                  0	            6000000	            6000000
5*  PRJ NL-S-CSR-024               COVID 19 Measures FD	           20000000	                  0	                  0	                  0	           20000000	           20000000	           20000000	                  0	                  0	                  0	           20000000	           20000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20000000	                  0	                  0	                  0	           20000000	           20000000
5*  PRJ NL-S-CSR-025               Covid Care Hospital	          150000000	                  0	         -150000000	                  0	                  0	                  0	          150000000	                  0	         -150000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          150000000	                  0	         -150000000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-026               HLL Biotech Ltd	           30000000	                  0	          -30000000	                  0	                  0	                  0	           30000000	                  0	          -30000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           30000000	                  0	          -30000000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-027               Medical Camps	            2500000	                  0	                  0	                  0	            2500000	            2500000	            2500000	                  0	                  0	                  0	            2500000	            2500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2500000	                  0	                  0	                  0	            2500000	            2500000
5*  PRJ NL-S-CSR-028               Swachhta Packwada ac	            1000000	                  0	                  0	                  0	            1000000	            1000000	            1000000	                  0	                  0	                  0	            1000000	            1000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1000000	                  0	                  0	                  0	            1000000	            1000000
5*  PRJ NL-S-CSR-029               Nutritional Support	            4000000	                  0	                  0	                  0	            4000000	            4000000	            4000000	                  0	                  0	                  0	            4000000	            4000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4000000	                  0	                  0	                  0	            4000000	            4000000
5*  PRJ NL-S-CSR-030               Posak - HIV+ve Socie	            1750000	                  0	                  0	                  0	            1750000	            1750000	            1750000	                  0	                  0	                  0	            1750000	            1750000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1750000	                  0	                  0	                  0	            1750000	            1750000
5*  PRJ NL-S-CSR-031               Food Supliments to O	            1200000	                  0	                  0	                  0	            1200000	            1200000	            1200000	                  0	                  0	                  0	            1200000	            1200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1200000	                  0	                  0	                  0	            1200000	            1200000
5*  PRJ NL-S-CSR-032               Food Supp. Annai Ter	             350000	                  0	                  0	                  0	             350000	             350000	             350000	                  0	                  0	                  0	             350000	             350000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             350000	                  0	                  0	                  0	             350000	             350000
5*  PRJ NL-S-CSR-033               Trauma Care Centre a	           15000000	                  0	                  0	                  0	           15000000	           15000000	           15000000	                  0	                  0	                  0	           15000000	           15000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           15000000	                  0	                  0	                  0	           15000000	           15000000
5*  PRJ NL-S-CSR-034               TB Sanitorium at Cap	           12000000	                  0	                  0	                  0	           12000000	           12000000	           12000000	                  0	                  0	                  0	           12000000	           12000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12000000	                  0	                  0	                  0	           12000000	           12000000
5*  PRJ NL-S-CSR-035               Beti Bachao Scheme,	             200000	                  0	                  0	                  0	             200000	             200000	             200000	                  0	                  0	                  0	             200000	             200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             200000	                  0	                  0	                  0	             200000	             200000
5*  PRJ NL-S-CSR-036               Medical Camps at Bar	             300000	                  0	                  0	                  0	             300000	             300000	             300000	                  0	                  0	                  0	             300000	             300000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             300000	                  0	                  0	                  0	             300000	             300000
5*  PRJ NL-S-CSR-037               Medical Services on	           23800000	                  0	                  0	                  0	           23800000	           23800000	           23800000	                  0	                  0	                  0	           23800000	           23800000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           23800000	                  0	                  0	                  0	           23800000	           23800000
5*  PRJ NL-S-CSR-038               2Nos of RCC OHT at K	            2000000	                  0	                  0	                  0	            2000000	            2000000	            2000000	                  0	                  0	                  0	            2000000	            2000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2000000	                  0	                  0	                  0	            2000000	            2000000
5*  PRJ NL-S-CSR-039               Railway toilets by R	          118981000	                  0	                  0	                  0	          118981000	          118981000	          118981000	                  0	                  0	                  0	          118981000	          118981000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          118981000	                  0	                  0	                  0	          118981000	          118981000
5*  PRJ NL-S-CSR-040               Hygiene and Healthca	            8150000	                  0	                  0	                  0	            8150000	            8150000	            8150000	                  0	                  0	                  0	            8150000	            8150000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8150000	                  0	                  0	                  0	            8150000	            8150000
5*  PRJ NL-S-CSR-041               Education Support Se	            6430000	                  0	                  0	                  0	            6430000	            6430000	            6430000	                  0	                  0	                  0	            6430000	            6430000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6430000	                  0	                  0	                  0	            6430000	            6430000
5*  PRJ NL-S-CSR-042               Beti Padhao Scheme B	             200000	                  0	                  0	                  0	             200000	             200000	             200000	                  0	                  0	                  0	             200000	             200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             200000	                  0	                  0	                  0	             200000	             200000
5*  PRJ NL-S-CSR-043               Scholarship for Girl	            1400000	                  0	                  0	                  0	            1400000	            1400000	            1400000	                  0	                  0	                  0	            1400000	            1400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1400000	                  0	                  0	                  0	            1400000	            1400000
5*  PRJ NL-S-CSR-044               Tution Fees for SC,	           47000000	                  0	                  0	                  0	           47000000	           47000000	           47000000	                  0	                  0	                  0	           47000000	           47000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           47000000	                  0	                  0	                  0	           47000000	           47000000
5*  PRJ NL-S-CSR-045               Educational Assistan	            4846000	                  0	                  0	                  0	            4846000	            4846000	            4846000	                  0	                  0	                  0	            4846000	            4846000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4846000	                  0	                  0	                  0	            4846000	            4846000
5*  PRJ NL-S-CSR-046               Educational promotio	            3400000	                  0	                  0	                  0	            3400000	            3400000	            3400000	                  0	                  0	                  0	            3400000	            3400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3400000	                  0	                  0	                  0	            3400000	            3400000
5*  PRJ NL-S-CSR-047               Educational Assistan	           18614000	                  0	                  0	                  0	           18614000	           18614000	           18614000	                  0	                  0	                  0	           18614000	           18614000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18614000	                  0	                  0	                  0	           18614000	           18614000
5*  PRJ NL-S-CSR-048               Financial Assistance	           50000000	                  0	                  0	                  0	           50000000	           50000000	           50000000	                  0	                  0	                  0	           50000000	           50000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           50000000	                  0	                  0	                  0	           50000000	           50000000
5*  PRJ NL-S-CSR-049               Fin. Asst. Sarada Ni	           18500000	                  0	                  0	                  0	           18500000	           18500000	           18500000	                  0	                  0	                  0	           18500000	           18500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18500000	                  0	                  0	                  0	           18500000	           18500000
5*  PRJ NL-S-CSR-050               Skill Development fo	           10500000	                  0	                  0	                  0	           10500000	           10500000	           10500000	                  0	                  0	                  0	           10500000	           10500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10500000	                  0	                  0	                  0	           10500000	           10500000
5*  PRJ NL-S-CSR-051               Fin. Asst. Gram Vika	           20903000	                  0	                  0	                  0	           20903000	           20903000	           20903000	                  0	                  0	                  0	           20903000	           20903000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20903000	                  0	                  0	                  0	           20903000	           20903000
5*  PRJ NL-S-CSR-052               Camel festival in Bi	             100000	                  0	                  0	                  0	             100000	             100000	             100000	                  0	                  0	                  0	             100000	             100000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             100000	                  0	                  0	                  0	             100000	             100000
5*  PRJ NL-S-CSR-053               Conducting of sports	            6000000	                  0	                  0	                  0	            6000000	            6000000	            6000000	                  0	                  0	                  0	            6000000	            6000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6000000	                  0	                  0	                  0	            6000000	            6000000
5*  PRJ NL-S-CSR-054               Fin. Asst. to Olympi	            1500000	                  0	                  0	                  0	            1500000	            1500000	            1500000	                  0	                  0	                  0	            1500000	            1500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1500000	                  0	                  0	                  0	            1500000	            1500000
5*  PRJ NL-S-CSR-055               Amenities Developmen	           45000000	                  0	          -16265115	                  0	           28734885	           28734885	           45000000	                  0	          -16265115	                  0	           28734885	           28734885	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           45000000	                  0	          -16265115	                  0	           28734885	           28734885
5*  PRJ NL-S-CSR-056               Janapravesh by NLC B	            7200000	                  0	                  0	                  0	            7200000	            7200000	            7200000	                  0	                  0	                  0	            7200000	            7200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7200000	                  0	                  0	                  0	            7200000	            7200000
5*  PRJ NL-S-CSR-057               Baseline survey Eval	            6000000	                  0	                  0	                  0	            6000000	            6000000	            6000000	                  0	                  0	                  0	            6000000	            6000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6000000	                  0	                  0	                  0	            6000000	            6000000
