Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (22.04.2025 15:50:40)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
    100 T Crawler Cranes WBS NL-N-MES-001-02-03	        87719897.01	        41386564.00	        46333333.01	        87719897.01	               0.00	        87719897.01	        41386564.00	               0.00	        41386564.00	        46333333.01	               0.00	               0.00	        46333333.01	        46333333.01	       -46333333.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        87719897.01	        41386564.00	        46333333.01	        87719897.01	               0.00
    Dumpers- 4 Nos.      WBS NL-N-MES-001-02-04	       126810592.83	       126810592.83	               0.00	       126810592.83	               0.00	       126810592.83	       126810592.83	               0.00	       126810592.83	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       126810592.83	       126810592.83	               0.00	       126810592.83	               0.00
    Water Sprinkler      WBS NL-N-MES-001-02-05	        72282098.21	        72057828.64	          224269.57	        72282098.21	               0.00	        72282098.21	        72057828.64	          224269.57	        72282098.21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        72282098.21	        72057828.64	          224269.57	        72282098.21	               0.00
    Welding Generator    WBS NL-N-MES-001-02-06	          826000.00	          826000.00	               0.00	          826000.00	               0.00	          826000.00	          826000.00	               0.00	          826000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          826000.00	          826000.00	               0.00	          826000.00	               0.00
    Engine BE700         WBS NL-N-MES-001-02-07	         7051631.02	         7051631.02	               0.00	         7051631.02	               0.00	         7051631.02	         7051631.02	               0.00	         7051631.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7051631.02	         7051631.02	               0.00	         7051631.02	               0.00
    Engine for Pipelayer WBS NL-N-MES-001-02-08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    DOZERS               WBS NL-N-MES-001-02-09	       108371583.78	       108371583.78	               0.00	       108371583.78	               0.00	       108371583.78	       108371583.78	               0.00	       108371583.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       108371583.78	       108371583.78	               0.00	       108371583.78	               0.00
    Escort Cranes        WBS NL-N-MES-001-02-10	         7476000.32	         7476000.32	               0.00	         7476000.32	               0.00	         7476000.32	         7476000.32	               0.00	         7476000.32	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7476000.32	         7476000.32	               0.00	         7476000.32	               0.00
    FM spares-MIA        WBS NL-N-MES-001-02-11	         2540844.59	         2540844.59	               0.00	         2540844.59	               0.00	         2540844.59	         2540844.59	               0.00	         2540844.59	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2540844.59	         2540844.59	               0.00	         2540844.59	               0.00
    Pipe layer           WBS NL-N-MES-001-02-12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Dozers Not less than WBS NL-N-MES-001-02-13	       149247722.31	       137987860.50	        11259861.79	       149247722.29	               0.02	       149247722.31	       114178823.04	               0.00	       114178823.04	        35068899.27	               0.00	        23809037.46	        11259861.79	        35068899.25	       -35068899.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       149247722.31	       137987860.50	        11259861.79	       149247722.29	               0.02
    Final Drive Bearing  WBS NL-N-MES-001-02-15	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00
    Wheel Towing Tractor WBS NL-N-MES-001-02-17	        10309999.82	        10309999.82	               0.00	        10309999.82	               0.00	        10309999.82	        10309999.82	               0.00	        10309999.82	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10309999.82	        10309999.82	               0.00	        10309999.82	               0.00
    Backhoes 0.9Cu.M Buc WBS NL-N-MES-001-02-18	         9654757.75	               0.00	         9654757.75	         9654757.75	               0.00	         9654757.75	               0.00	         9654757.75	         9654757.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9654757.75	               0.00	         9654757.75	         9654757.75	               0.00
    Under Carriage for B WBS NL-N-MES-001-02-19	         7524434.87	         2301894.11	         5222540.76	         7524434.87	               0.00	         7524434.87	         2301894.11	               0.00	         2301894.11	         5222540.76	               0.00	               0.00	         5222540.76	         5222540.76	        -5222540.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7524434.87	         2301894.11	         5222540.76	         7524434.87	               0.00
    Wh.Dozer engine      WBS NL-N-MES-001-02-20	         6203053.98	         6203053.98	               0.00	         6203053.98	               0.00	         6203053.98	         6203053.98	               0.00	         6203053.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6203053.98	         6203053.98	               0.00	         6203053.98	               0.00
    Control valve For Ba WBS NL-N-MES-001-02-21	          230100.00	          230100.00	               0.00	          230100.00	               0.00	          230100.00	          230100.00	               0.00	          230100.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          230100.00	          230100.00	               0.00	          230100.00	               0.00
    Hydraulic pump for b WBS NL-N-MES-001-02-22	          769950.00	          769950.00	               0.00	          769950.00	               0.00	          769950.00	          769950.00	               0.00	          769950.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          769950.00	          769950.00	               0.00	          769950.00	               0.00
    Motor Grader         WBS NL-N-MES-001-02-23	        10741000.05	        10741000.05	               0.00	        10741000.05	               0.00	        10741000.05	        10741000.05	               0.00	        10741000.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10741000.05	        10741000.05	               0.00	        10741000.05	               0.00
    Backhoe Loader       WBS NL-N-MES-001-02-24	         7700000.19	         7700000.19	               0.00	         7700000.19	               0.00	         7700000.19	         7700000.19	               0.00	         7700000.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7700000.19	         7700000.19	               0.00	         7700000.19	               0.00
    Fog Cannon           WBS NL-N-MES-001-02-25	         3881000.00	               0.00	         3881000.00	         3881000.00	               0.00	         3881000.00	               0.00	               0.00	               0.00	         3881000.00	               0.00	               0.00	         3881000.00	         3881000.00	        -3881000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3881000.00	               0.00	         3881000.00	         3881000.00	               0.00
    Engine for Water spr WBS NL-N-MES-001-02-26	         4850666.68	         4268586.69	          582079.99	         4850666.68	               0.00	         4850666.68	         4268586.69	          582079.99	         4850666.68	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4850666.68	         4268586.69	          582079.99	         4850666.68	               0.00
    Engine for C Crane   WBS NL-N-MES-001-02-27	         4725845.09	         4050994.42	          674850.67	         4725845.09	               0.00	         4725845.09	         4050994.42	          674850.67	         4725845.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4725845.09	         4050994.42	          674850.67	         4725845.09	               0.00
    Transmission assembl WBS NL-N-MES-001-02-28	          922378.02	          922378.02	               0.00	          922378.02	               0.00	          922378.02	          922378.02	               0.00	          922378.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          922378.02	          922378.02	               0.00	          922378.02	               0.00
    6BT 5.9C Engines for WBS NL-N-MES-001-02-29	         1082478.01	         1082478.01	               0.00	         1082478.01	               0.00	         1082478.01	         1082478.01	               0.00	         1082478.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1082478.01	         1082478.01	               0.00	         1082478.01	               0.00
    Transmission assembl WBS NL-N-MES-001-02-30	         2970650.00	               0.00	         2970650.00	         2970650.00	               0.00	         2970650.00	               0.00	               0.00	               0.00	         2970650.00	               0.00	               0.00	         2970650.00	         2970650.00	        -2970650.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2970650.00	               0.00	         2970650.00	         2970650.00	               0.00
    Transmission assembl WBS NL-N-MES-001-02-31	         1600080.00	               0.00	         1600080.00	         1600080.00	               0.00	         1600080.00	               0.00	               0.00	               0.00	         1600080.00	               0.00	               0.00	         1600080.00	         1600080.00	        -1600080.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1600080.00	               0.00	         1600080.00	         1600080.00	               0.00
    Portable Welding Mac WBS NL-N-MES-001-02-32	           24990.00	           24990.00	               0.00	           24990.00	               0.00	           24990.00	           24990.00	               0.00	           24990.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           24990.00	           24990.00	               0.00	           24990.00	               0.00
    Tyre Dismantler      WBS NL-N-MES-001-02-34	        12247338.00	               0.00	        12247338.00	        12247338.00	               0.00	        12247338.00	               0.00	        12247338.00	        12247338.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12247338.00	               0.00	        12247338.00	        12247338.00	               0.00
    HEMM HIGH PRESSURE J WBS NL-N-MES-001-02-35	          300000.00	               0.00	          300000.00	          300000.00	               0.00	          300000.00	               0.00	          300000.00	          300000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          300000.00	               0.00	          300000.00	          300000.00	               0.00
    Engine Assembly Suit WBS NL-N-MES-001-02-36	         2991291.84	               0.00	         2991291.84	         2991291.84	               0.00	         2991291.84	               0.00	         2991291.84	         2991291.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2991291.84	               0.00	         2991291.84	         2991291.84	               0.00
*   Mine II              WBS NL-N-MES-001-03	      2622561894.61	      2332659149.62	       289902745.03	      2622561894.65	              -0.04	      2622561894.61	      2112381897.76	        68272213.70	      2180654111.46	       441907783.15	               0.00	       220277251.86	       221630531.33	       441907783.19	      -441907783.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2622561894.61	      2332659149.62	       289902745.03	      2622561894.65	              -0.04
    Pipelayers of 90Ton  WBS NL-N-MES-001-03-01	       311637310.55	       311637310.55	               0.00	       311637310.55	               0.00	       311637310.55	       311637310.55	               0.00	       311637310.55	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       311637310.55	       311637310.55	               0.00	       311637310.55	               0.00
    Dozer not less than  WBS NL-N-MES-001-03-02	        28753877.34	        28753877.34	               0.00	        28753877.34	               0.00	        28753877.34	        28753877.34	               0.00	        28753877.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        28753877.34	        28753877.34	               0.00	        28753877.34	               0.00
    Backhoe of 0.9 Cu.M  WBS NL-N-MES-001-03-03	        54493771.84	         6219983.09	        48273788.75	        54493771.84	               0.00	        54493771.84	         6219983.09	        48273788.75	        54493771.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        54493771.84	         6219983.09	        48273788.75	        54493771.84	               0.00
    C-Cranes – 6 Nos.    WBS NL-N-MES-001-03-04	       268687086.71	       261969909.51	         6717177.19	       268687086.70	               0.01	       268687086.71	       235101200.77	               0.00	       235101200.77	        33585885.94	               0.00	        26868708.74	         6717177.19	        33585885.93	       -33585885.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       268687086.71	       261969909.51	         6717177.19	       268687086.70	               0.01
    Pick & Carry Cranes  WBS NL-N-MES-001-03-05	        18689999.99	        18689999.99	               0.00	        18689999.99	               0.00	        18689999.99	        18689999.99	               0.00	        18689999.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18689999.99	        18689999.99	               0.00	        18689999.99	               0.00
    100 T Crawler Cranes WBS NL-N-MES-001-03-06	        51788006.98	         5454673.99	        46333332.99	        51788006.98	               0.00	        51788006.98	         5454673.99	               0.00	         5454673.99	        46333332.99	               0.00	               0.00	        46333332.99	        46333332.99	       -46333332.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        51788006.98	         5454673.99	        46333332.99	        51788006.98	               0.00
    Backhoe Loader       WBS NL-N-MES-001-03-07	         7700000.13	         7700000.13	               0.00	         7700000.13	               0.00	         7700000.13	         7700000.13	               0.00	         7700000.13	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7700000.13	         7700000.13	               0.00	         7700000.13	               0.00
    Backhoes not less th WBS NL-N-MES-001-03-08	        49668502.63	        49668502.63	               0.00	        49668502.63	               0.00	        49668502.63	        49668502.63	               0.00	        49668502.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        49668502.63	        49668502.63	               0.00	        49668502.63	               0.00
    Water Sprinkler      WBS NL-N-MES-001-03-09	       122583728.14	       122135189.00	          448539.14	       122583728.14	               0.00	       122583728.14	       122135189.00	          448539.14	       122583728.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       122583728.14	       122135189.00	          448539.14	       122583728.14	               0.00
    Motor Grader         WBS NL-N-MES-001-03-10	        57283000.11	        57283000.11	               0.00	        57283000.11	               0.00	        57283000.11	        57283000.11	               0.00	        57283000.11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        57283000.11	        57283000.11	               0.00	        57283000.11	               0.00
    Welding Generator    WBS NL-N-MES-001-03-11	         2478000.00	         2478000.00	               0.00	         2478000.00	               0.00	         2478000.00	         2478000.00	               0.00	         2478000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2478000.00	         2478000.00	               0.00	         2478000.00	               0.00
    TIL Crane RT880      WBS NL-N-MES-001-03-12	         4955772.04	         4955772.04	               0.00	         4955772.04	               0.00	         4955772.04	         4955772.04	               0.00	         4955772.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4955772.04	         4955772.04	               0.00	         4955772.04	               0.00
    Spares for RPL Pipel WBS NL-N-MES-001-03-13	        29555849.40	        29555849.40	               0.00	        29555849.40	               0.00	        29555849.40	        29555849.40	               0.00	        29555849.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        29555849.40	        29555849.40	               0.00	        29555849.40	               0.00
    Engine for RPL pipe  WBS NL-N-MES-001-03-14	        38068961.94	        38068961.94	               0.00	        38068961.94	               0.00	        38068961.94	        38068961.94	               0.00	        38068961.94	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        38068961.94	        38068961.94	               0.00	        38068961.94	               0.00
    Engine for DOZERS    WBS NL-N-MES-001-03-15	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Engine for Pipelayer WBS NL-N-MES-001-03-16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    DOZERS               WBS NL-N-MES-001-03-17	       216743167.56	       216743167.56	               0.00	       216743167.56	               0.00	       216743167.56	       216743167.56	               0.00	       216743167.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       216743167.56	       216743167.56	               0.00	       216743167.56	               0.00
    Dumpers              WBS NL-N-MES-001-03-18	       182033878.60	       182033878.60	               0.00	       182033878.60	               0.00	       182033878.60	       182033878.60	               0.00	       182033878.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       182033878.60	       182033878.60	               0.00	       182033878.60	               0.00
    PIPELAYER            WBS NL-N-MES-001-03-19	       200970000.01	       110038500.00	        90931500.01	       200970000.01	               0.00	       200970000.01	               0.00	               0.00	               0.00	       200970000.01	               0.00	       110038500.00	        90931500.01	       200970000.01	      -200970000.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       200970000.01	       110038500.00	        90931500.01	       200970000.01	               0.00
    FM spares-MII        WBS NL-N-MES-001-03-20	         3517746.54	         3517746.54	               0.00	         3517746.54	               0.00	         3517746.54	         3517746.54	               0.00	         3517746.54	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3517746.54	         3517746.54	               0.00	         3517746.54	               0.00
    Dozers Not less than WBS NL-N-MES-001-03-21	       847481779.09	       808049030.70	        39432748.44	       847481779.14	              -0.05	       847481779.09	       724678987.58	               0.00	       724678987.58	       122802791.51	               0.00	        83370043.12	        39432748.44	       122802791.56	      -122802791.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       847481779.09	       808049030.70	        39432748.44	       847481779.14	              -0.05
    15T Pick & carry Cra WBS NL-N-MES-001-03-23	        12255000.00	        12255000.00	               0.00	        12255000.00	               0.00	        12255000.00	        12255000.00	               0.00	        12255000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12255000.00	        12255000.00	               0.00	        12255000.00	               0.00
    Final Drive Bearing  WBS NL-N-MES-001-03-24	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00
    Wheel Towing Tractor WBS NL-N-MES-001-03-26	         5154999.82	         5154999.82	               0.00	         5154999.82	               0.00	         5154999.82	         5154999.82	               0.00	         5154999.82	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5154999.82	         5154999.82	               0.00	         5154999.82	               0.00
    Under Carriage for B WBS NL-N-MES-001-03-27	        19962034.21	         6905682.31	        13056351.90	        19962034.21	               0.00	        19962034.21	         6905682.31	               0.00	         6905682.31	        13056351.90	               0.00	               0.00	        13056351.90	        13056351.90	       -13056351.90	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        19962034.21	         6905682.31	        13056351.90	        19962034.21	               0.00
    Air Compressor       WBS NL-N-MES-001-03-28	         1240389.34	         1240389.34	               0.00	         1240389.34	               0.00	         1240389.34	         1240389.34	               0.00	         1240389.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1240389.34	         1240389.34	               0.00	         1240389.34	               0.00
    Wh.Dozer engine      WBS NL-N-MES-001-03-29	         5582748.50	         5582748.50	               0.00	         5582748.50	               0.00	         5582748.50	         5582748.50	               0.00	         5582748.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5582748.50	         5582748.50	               0.00	         5582748.50	               0.00
    Control valve For Ba WBS NL-N-MES-001-03-30	          690300.00	          690300.00	               0.00	          690300.00	               0.00	          690300.00	          690300.00	               0.00	          690300.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          690300.00	          690300.00	               0.00	          690300.00	               0.00
