Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (22.04.2025 15:50:40)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
    TIL Engine RT880     WBS NL-N-MES-001-01-09	         2477886.03	         2477886.03	               0.00	         2477886.03	               0.00	         2477886.03	         2477886.03	               0.00	         2477886.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2477886.03	         2477886.03	               0.00	         2477886.03	               0.00
    Propel Device with M WBS NL-N-MES-001-01-10	        14488512.00	        14488512.00	               0.00	        14488512.00	               0.00	        14488512.00	        14488512.00	               0.00	        14488512.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14488512.00	        14488512.00	               0.00	        14488512.00	               0.00
    FM equipment spares  WBS NL-N-MES-001-01-11	         3366302.04	         3366302.04	               0.00	         3366302.04	               0.00	         3366302.04	         3366302.04	               0.00	         3366302.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3366302.04	         3366302.04	               0.00	         3366302.04	               0.00
    Engine for Dozer     WBS NL-N-MES-001-01-12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Engine for Pipelayer WBS NL-N-MES-001-01-13	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Engine for RCS       WBS NL-N-MES-001-01-14	         9984000.00	         9984000.00	               0.00	         9984000.00	               0.00	         9984000.00	         9984000.00	               0.00	         9984000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9984000.00	         9984000.00	               0.00	         9984000.00	               0.00
    Escort Cranes        WBS NL-N-MES-001-01-15	        31772999.97	        31772999.97	               0.00	        31772999.97	               0.00	        31772999.97	        31772999.97	               0.00	        31772999.97	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        31772999.97	        31772999.97	               0.00	        31772999.97	               0.00
    DOZERS               WBS NL-N-MES-001-01-16	       108371583.90	       108371583.90	               0.00	       108371583.90	               0.00	       108371583.90	       108371583.90	               0.00	       108371583.90	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       108371583.90	       108371583.90	               0.00	       108371583.90	               0.00
    TC Cranes            WBS NL-N-MES-001-01-17	       112499999.99	               0.00	       112499999.99	       112499999.99	               0.00	       112499999.99	               0.00	       112499999.99	       112499999.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       112499999.99	               0.00	       112499999.99	       112499999.99	               0.00
    Dumpers              WBS NL-N-MES-001-01-18	       182033878.61	       182033878.61	               0.00	       182033878.61	               0.00	       182033878.61	       182033878.61	               0.00	       182033878.61	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       182033878.61	       182033878.61	               0.00	       182033878.61	               0.00
    Wheel Dozers         WBS NL-N-MES-001-01-19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Wheel Towing Tractor WBS NL-N-MES-001-01-20	        10309999.86	        10309999.86	               0.00	        10309999.86	               0.00	        10309999.86	        10309999.86	               0.00	        10309999.86	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10309999.86	        10309999.86	               0.00	        10309999.86	               0.00
    BE 700 engine        WBS NL-N-MES-001-01-21	         7051630.98	         7051630.98	               0.00	         7051630.98	               0.00	         7051630.98	         7051630.98	               0.00	         7051630.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7051630.98	         7051630.98	               0.00	         7051630.98	               0.00
    Dozers Not less than WBS NL-N-MES-001-01-22	       402114750.94	       390854889.13	        11259861.79	       402114750.92	               0.02	       402114750.94	       367045851.67	               0.00	       367045851.67	        35068899.27	               0.00	        23809037.46	        11259861.79	        35068899.25	       -35068899.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       402114750.94	       390854889.13	        11259861.79	       402114750.92	               0.02
    Car washer unit      WBS NL-N-MES-001-01-23	          418599.95	          418599.95	               0.00	          418599.95	               0.00	          418599.95	          418599.95	               0.00	          418599.95	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          418599.95	          418599.95	               0.00	          418599.95	               0.00
    Final Drive Bearing  WBS NL-N-MES-001-01-24	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1063847.01	         1063847.01	               0.00	         1063847.01	               0.00
    Under carriage for R WBS NL-N-MES-001-01-26	        27242218.44	        27242218.44	               0.00	        27242218.44	               0.00	        27242218.44	        27242218.44	               0.00	        27242218.44	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        27242218.44	        27242218.44	               0.00	        27242218.44	               0.00
    PipeLayers           WBS NL-N-MES-001-01-27	        66990000.00	        36679500.00	        30310500.00	        66990000.00	               0.00	        66990000.00	               0.00	               0.00	               0.00	        66990000.00	               0.00	        36679500.00	        30310500.00	        66990000.00	       -66990000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        66990000.00	        36679500.00	        30310500.00	        66990000.00	               0.00
    Under Carriage for B WBS NL-N-MES-001-01-28	         5222540.76	               0.00	         5222540.76	         5222540.76	               0.00	         5222540.76	               0.00	               0.00	               0.00	         5222540.76	               0.00	               0.00	         5222540.76	         5222540.76	        -5222540.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5222540.76	               0.00	         5222540.76	         5222540.76	               0.00
    Control valve For Ba WBS NL-N-MES-001-01-29	          460200.00	          460200.00	               0.00	          460200.00	               0.00	          460200.00	          460200.00	               0.00	          460200.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          460200.00	          460200.00	               0.00	          460200.00	               0.00
    Hydraulic pump for b WBS NL-N-MES-001-01-30	         1026600.00	         1026600.00	               0.00	         1026600.00	               0.00	         1026600.00	         1026600.00	               0.00	         1026600.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1026600.00	         1026600.00	               0.00	         1026600.00	               0.00
    Portable welding mac WBS NL-N-MES-001-01-31	           48975.99	           48975.99	               0.00	           48975.99	               0.00	           48975.99	           48975.99	               0.00	           48975.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           48975.99	           48975.99	               0.00	           48975.99	               0.00
    100T Crawler Crane   WBS NL-N-MES-001-01-32	        46333333.01	               0.00	        46333333.01	        46333333.01	               0.00	        46333333.01	               0.00	               0.00	               0.00	        46333333.01	               0.00	               0.00	        46333333.01	        46333333.01	       -46333333.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        46333333.01	               0.00	        46333333.01	        46333333.01	               0.00
    Fog Cannon           WBS NL-N-MES-001-01-33	         3881000.00	               0.00	         3881000.00	         3881000.00	               0.00	         3881000.00	               0.00	               0.00	               0.00	         3881000.00	               0.00	               0.00	         3881000.00	         3881000.00	        -3881000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3881000.00	               0.00	         3881000.00	         3881000.00	               0.00
