Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  WBS NL-N-TS2-002-01-12         CSS Pipe 8/10 Inch A	           43980500	                  0	                  0	                  0	           43980500	                  0	           43980500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           43980500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           43980500	                  0	                  0	                  0	           43980500	           43980500
**  WBS NL-N-TS2-002-01-14         ASH INLET CUPVALVE A	           51357385	                  0	                  0	                  0	           51357385	                  0	           51357385	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           51357385	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           51357385	                  0	                  0	                  0	           51357385	           51357385
**  WBS NL-N-TS2-002-01-15         Air Block-Compressor	           64976932	                  0	                  0	                  0	           64976932	                  0	           64976932	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           64976932	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           64976932	                  0	                  0	                  0	           64976932	           64976932
*** WBS NL-N-TS2-002-02            CIVIL	          430404381	                  0	                  0	                  0	          430404381	          347351055	          353786130	                  0	                  0	                  0	          201676531	          201420140	           76618251	                  0	                  0	                  0	          228727850	          145930915	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          430508661	                  0	                  0	                  0	          430508661	          430404287
**  WBS NL-N-TS2-002-02-02         Rehabilitation works	           18780349	                  0	                  0	                  0	           18780349	           18780349	           18780349	                  0	                  0	                  0	           18780349	           18780349	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18780349	                  0	                  0	                  0	           18780349	           18780349
**  WBS NL-N-TS2-002-02-05         Water  Proofing work	            8848487	                  0	                  0	                  0	            8848487	            6049557	            8848487	                  0	                  0	                  0	            6305947	            6049557	                  0	                  0	                  0	                  0	            2542540	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8848487	                  0	                  0	                  0	            8848487	            8848487
**  WBS NL-N-TS2-002-02-06         Paver block pavement	            6082931	                  0	                  0	                  0	            6082931	            6082931	            6082931	                  0	                  0	                  0	            6082931	            6082931	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6082931	                  0	                  0	                  0	            6082931	            6082931
**  WBS NL-N-TS2-002-02-07         Rehabilitation works	           20904542	                  0	                  0	                  0	           20904542	           20904542	           20904542	                  0	                  0	                  0	           20904542	           20904542	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20904542	                  0	                  0	                  0	           20904542	           20904542
**  WBS NL-N-TS2-002-02-09         Roof& cladding to JT	            3186642	                  0	                  0	                  0	            3186642	            3186642	            3186642	                  0	                  0	                  0	            3186642	            3186642	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3186642	                  0	                  0	                  0	            3186642	            3186642
**  WBS NL-N-TS2-002-02-10         Painting of  Boiler	            1838450	                  0	                  0	                  0	            1838450	            1838450	            1838450	                  0	                  0	                  0	            1838450	            1838450	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1838450	                  0	                  0	                  0	            1838450	            1838450
**  WBS NL-N-TS2-002-02-11         Repair& painting of	            3896421	                  0	                  0	                  0	            3896421	            3896421	            3896421	                  0	                  0	                  0	            3896421	            3896421	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3896421	                  0	                  0	                  0	            3896421	            3896421
**  WBS NL-N-TS2-002-02-12         Coat over existing b	            1813727	                  0	                  0	                  0	            1813727	            1813727	            1813727	                  0	                  0	                  0	            1813727	            1813727	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813727	                  0	                  0	                  0	            1813727	            1813727
