Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   WBS NL-N-TS2-002-04-04-34      1100 V greade 3Cx2.5	            1878087	                  0	                  0	                  0	            1878087	                  0	            1878087	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1878087	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1878087	                  0	                  0	                  0	            1878087	            1878087
*   WBS NL-N-TS2-002-04-04-35      Purchase of 12"/15"/	            1317736	                  0	                  0	                  0	            1317736	             281100	            1317736	                  0	                  0	                  0	             281100	             281100	                  0	                  0	                  0	                  0	            1036635	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1317736	                  0	                  0	                  0	            1317736	            1317736
*   WBS NL-N-TS2-002-04-04-36      1100V grade,3.5C*35	             741735	                  0	                  0	                  0	             741735	             741735	             741735	                  0	                  0	                  0	             741735	             741735	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             741735	                  0	                  0	                  0	             741735	             741735
*   WBS NL-N-TS2-002-04-04-39      1100V grade , 3.5 C	            2264000	                  0	                  0	                  0	            2264000	                  0	            2264000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2264000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2264000	                  0	                  0	                  0	            2264000	            2264000
*   WBS NL-N-TS2-002-04-04-40      1100V grade 3CX4sqmm	             384000	                  0	                  0	                  0	             384000	                  0	             384000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             384000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             384000	                  0	                  0	                  0	             384000	             384000
*   WBS NL-N-TS2-002-04-04-41      WBS-Budget-Repair& R	             394399	                  0	                  0	                  0	             394399	             390703	             394399	                  0	                  0	                  0	             390703	             390703	                  0	                  0	                  0	                  0	               3696	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             394399	                  0	                  0	                  0	             394399	             394399
*   WBS NL-N-TS2-002-04-04-42      FIRE SURVIVAL CABLES	            2022738	                  0	                  0	                  0	            2022738	                  0	            2411440	                  0	                  0	                  0	                  0	                  0	            -388702	                  0	                  0	                  0	            2022738	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2022738	                  0	                  0	                  0	            2022738	            2022738
*   WBS NL-N-TS2-002-04-04-43      1100v grade 3.5C X 2	            1998000	                  0	                  0	                  0	            1998000	                  0	            1998000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1998000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1998000	                  0	                  0	                  0	            1998000	            1998000
*   WBS NL-N-TS2-002-04-04-44      Proc-SIRENS ALONG WI	             409266	                  0	                  0	                  0	             409266	                  0	             426549	                  0	                  0	                  0	                  0	                  0	             -17283	                  0	                  0	                  0	             409266	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             409266	                  0	                  0	                  0	             409266	             409266
*   WBS NL-N-TS2-002-04-04-45      ARMORED COPPER POWER	            1480000	                  0	                  0	                  0	            1480000	                  0	            1480000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1480000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1480000	                  0	                  0	                  0	            1480000	            1480000
*   WBS NL-N-TS2-002-04-04-46      Proc of 76 nos of LT	            2147600	                  0	                  0	                  0	            2147600	                  0	            2147600	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2147600	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2147600	                  0	                  0	                  0	            2147600	            2147600
*   WBS NL-N-TS2-002-04-04-47      1.1kV armoured Al Ca	            2320000	                  0	                  0	                  0	            2320000	            2320000	                  0	                  0	                  0	                  0	                  0	                  0	            2320000	                  0	                  0	                  0	            2320000	            2320000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2320000	                  0	                  0	                  0	            2320000	            2320000
*   WBS NL-N-TS2-002-04-04-48      out door type bore w	           10193137	                  0	                  0	                  0	           10193137	           10193137	                  0	                  0	                  0	                  0	                  0	                  0	           10193137	                  0	                  0	                  0	           10193137	           10193137	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10193137	                  0	                  0	                  0	           10193137	           10193137
**  WBS NL-N-TS2-002-04-05         SWITCH YARD	          297672031	             877000	            -877000	                  0	          297672031	          139031100	          246360138	             877000	            -877000	                  0	           87719207	           87719207	           51311894	                  0	                  0	                  0	          209952825	           51311894	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          297672031	            1461666	           -1461666	                  0	          297672031	          297672031
*   WBS NL-N-TS2-002-04-05-03      Thermal Imaging Came	            3657174	                  0	                  0	                  0	            3657174	            3657174	            3657174	                  0	                  0	                  0	            3657174	            3657174	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3657174	                  0	                  0	                  0	            3657174	            3657174
*   WBS NL-N-TS2-002-04-05-04       Self propelled Scis	             465000	                  0	                  0	                  0	             465000	             465000	             465000	                  0	                  0	                  0	             465000	             465000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             465000	                  0	                  0	                  0	             465000	             465000
*   WBS NL-N-TS2-002-04-05-11      360KV 20KA DISCHARGE	            1505226	                  0	                  0	                  0	            1505226	            1505226	            1505226	                  0	                  0	                  0	            1505226	            1505226	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1505226	                  0	                  0	                  0	            1505226	            1505226
*   WBS NL-N-TS2-002-04-05-12      245KV CTs Type-I & I	            8544755	                  0	                  0	                  0	            8544755	            8544755	            8544755	                  0	                  0	                  0	            8544755	            8544755	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8544755	                  0	                  0	                  0	            8544755	            8544755
*   WBS NL-N-TS2-002-04-05-13      Clamps for HTLS Cond	             873047	                  0	                  0	                  0	             873047	             873047	             873047	                  0	                  0	                  0	             873047	             873047	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             873047	                  0	                  0	                  0	             873047	             873047
*   WBS NL-N-TS2-002-04-05-14      Self propelled Artic	           11867364	                  0	                  0	                  0	           11867364	                  0	           11867364	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11867364	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11867364	                  0	                  0	                  0	           11867364	           11867364
*   WBS NL-N-TS2-002-04-05-15      245KV SPRING OPERATE	           11206362	                  0	                  0	                  0	           11206362	           11206362	            1659479	                  0	                  0	                  0	            1659479	            1659479	            9546883	                  0	                  0	                  0	            9546883	            9546883	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11206362	                  0	                  0	                  0	           11206362	           11206362
*   WBS NL-N-TS2-002-04-05-16      Retrofit of 245KV Is	            8254704	                  0	                  0	                  0	            8254704	                  0	            8254704	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8254704	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8254704	                  0	                  0	                  0	            8254704	            8254704
*   WBS NL-N-TS2-002-04-05-17      245KV SF6 Gas Curren	            8989240	                  0	                  0	                  0	            8989240	                  0	            8989240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8989240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8989240	                  0	                  0	                  0	            8989240	            8989240
*   WBS NL-N-TS2-002-04-05-18      400KV Capacitance Vo	            2458380	                  0	                  0	                  0	            2458380	            2458380	            2458380	                  0	                  0	                  0	            2458380	            2458380	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2458380	                  0	                  0	                  0	            2458380	            2458380
*   WBS NL-N-TS2-002-04-05-19      Replacement of fault	             634910	                  0	                  0	                  0	             634910	             618910	             634910	                  0	                  0	                  0	             618910	             618910	                  0	                  0	                  0	                  0	              16000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             634910	                  0	                  0	                  0	             634910	             634910
*   WBS NL-N-TS2-002-04-05-20      Dead end & Suspensio	             687595	                  0	                  0	                  0	             687595	             687595	             687595	                  0	                  0	                  0	             687595	             687595	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             687595	                  0	                  0	                  0	             687595	             687595
*   WBS NL-N-TS2-002-04-05-21      Extension of ABT EMS	            1592947	            1169334	           -1169334	                  0	            1592947	            1592947	            1592947	            1169334	           -1169334	                  0	            1592947	            1592947	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1592947	             584667	            -584667	                  0	            1592947	            1592947
*   WBS NL-N-TS2-002-04-05-23       400kV SF6 gas Curre	            3781897	                  0	                  0	                  0	            3781897	            3781897	            3781897	                  0	                  0	                  0	            3781897	            3781897	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3781897	                  0	                  0	                  0	            3781897	            3781897
*   WBS NL-N-TS2-002-04-05-24      Retrofitting of 400K	           21776117	                  0	                  0	                  0	           21776117	           21776117	           21776117	                  0	                  0	                  0	           21776117	           21776117	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21776117	                  0	                  0	                  0	           21776117	           21776117
*   WBS NL-N-TS2-002-04-05-25      Replacement of 420 K	             191160	                  0	                  0	                  0	             191160	             191160	             191160	                  0	                  0	                  0	             191160	             191160	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             191160	                  0	                  0	                  0	             191160	             191160
*   WBS NL-N-TS2-002-04-05-26      400KV Spring Operate	           19846903	                  0	                  0	                  0	           19846903	           19846903	           19846903	                  0	                  0	                  0	           19846903	           19846903	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           19846903	                  0	                  0	                  0	           19846903	           19846903
*   WBS NL-N-TS2-002-04-05-27      ABT Based Energy Met	           10469303	                  0	                  0	                  0	           10469303	            8724274	           10469303	                  0	                  0	                  0	            8724274	            8724274	                  0	                  0	                  0	                  0	            1745030	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10469303	                  0	                  0	                  0	           10469303	           10469303
*   WBS NL-N-TS2-002-04-05-31      ST work for Repl of	             818520	                  0	                  0	                  0	             818520	             547520	             818520	                  0	                  0	                  0	             547520	             547520	                  0	                  0	                  0	                  0	             271000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             818520	                  0	                  0	                  0	             818520	             818520
*   WBS NL-N-TS2-002-04-05-32      Reconductoring  Exis	            2147600	                  0	                  0	                  0	            2147600	            1342250	            2147600	                  0	                  0	                  0	            1342250	            1342250	                  0	                  0	                  0	                  0	             805350	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2147600	                  0	                  0	                  0	            2147600	            2147600
*   WBS NL-N-TS2-002-04-05-33      Supply & Servicing o	            9446573	                  0	                  0	                  0	            9446573	            9446573	            9446573	                  0	                  0	                  0	            9446573	            9446573	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9446573	                  0	                  0	                  0	            9446573	            9446573
*   WBS NL-N-TS2-002-04-05-34      Supply and installat	            9956000	                  0	                  0	                  0	            9956000	                  0	            9956000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9956000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9956000	                  0	                  0	                  0	            9956000	            9956000
*   WBS NL-N-TS2-002-04-05-35      Comm of 230 kv 1200	           82604759	                  0	                  0	                  0	           82604759	                  0	           82604759	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           82604759	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           82604759	                  0	                  0	                  0	           82604759	           82604759
*   WBS NL-N-TS2-002-04-05-36      PUR OF 360KV 20KA LI	            3073251	                  0	                  0	                  0	            3073251	                  0	            3073251	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3073251	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3073251	                  0	                  0	                  0	            3073251	            3073251
*   WBS NL-N-TS2-002-04-05-37      PUR OF 360KV 20KA LI	           13246674	                  0	                  0	                  0	           13246674	                  0	           13246674	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13246674	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13246674	                  0	                  0	                  0	           13246674	           13246674
*   WBS NL-N-TS2-002-04-05-39      4T BATTERY OPERATED	           13110000	                  0	                  0	                  0	           13110000	                  0	           13110000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13110000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13110000	                  0	                  0	                  0	           13110000	           13110000
*   WBS NL-N-TS2-002-04-05-40      SF6 GAS ANALYZER	            2168249	                  0	                  0	                  0	            2168249	                  0	            2168249	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2168249	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2168249	                  0	                  0	                  0	            2168249	            2168249
*   WBS NL-N-TS2-002-04-05-41      245kv SIEMENS CIRCUI	            8576202	                  0	                  0	                  0	            8576202	            8576202	                  0	                  0	                  0	                  0	                  0	                  0	            8576202	                  0	                  0	                  0	            8576202	            8576202	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8576202	                  0	                  0	                  0	            8576202	            8576202
*   WBS NL-N-TS2-002-04-05-42      BACK-UP COVER AND EA	             596048	                  0	                  0	                  0	             596048	                  0	             596048	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             596048	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             596048	                  0	                  0	                  0	             596048	             596048
*   WBS NL-N-TS2-002-04-05-43      PROCUREMENT OF 3NOS	            1937263	                  0	                  0	                  0	            1937263	                  0	            1937263	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1937263	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1937263	                  0	                  0	                  0	            1937263	            1937263
*   WBS NL-N-TS2-002-04-05-45      Schneider control sp	             263919	                  0	                  0	                  0	             263919	             263919	                  0	                  0	                  0	                  0	                  0	                  0	             263919	                  0	                  0	                  0	             263919	             263919	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             263919	                  0	                  0	                  0	             263919	             263919
*   WBS NL-N-TS2-002-04-05-46      400 kV SF6 Spring op	           18620400	                  0	                  0	                  0	           18620400	           18620400	                  0	                  0	                  0	                  0	                  0	                  0	           18620400	                  0	                  0	                  0	           18620400	           18620400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18620400	                  0	                  0	                  0	           18620400	           18620400
*   WBS NL-N-TS2-002-04-05-47      Retrofit of RTU Remo	           14304490	                  0	                  0	                  0	           14304490	           14304490	                  0	                  0	                  0	                  0	                  0	                  0	           14304490	                  0	                  0	                  0	           14304490	           14304490	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14304490	                  0	                  0	                  0	           14304490	           14304490
**  WBS NL-N-TS2-002-04-06         MRT	           47183356	                  0	                  0	                  0	           47183356	           34977670	           21171847	                  0	                  0	                  0	            8966161	            8966161	           26011509	                  0	                  0	                  0	           38217195	           26011509	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           47183356	                  0	                  0	                  0	           47183356	           47183356
*   WBS NL-N-TS2-002-04-06-02      Numerical Motor Prot	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0
*   WBS NL-N-TS2-002-04-06-03      Insulation Resistanc	            1148068	                  0	                  0	                  0	            1148068	            1148068	            1148068	                  0	                  0	                  0	            1148068	            1148068	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1148068	                  0	                  0	                  0	            1148068	            1148068
*   WBS NL-N-TS2-002-04-06-04      Procurement of Break	             106500	                  0	                  0	                  0	             106500	                  0	             106500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             106500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             106500	                  0	                  0	                  0	             106500	             106500
